// DO NOT CHANGE THE VERSION INFORMATION
*TPv1.1*

// ***************************************************************
// Real-World Test data for sights in the district Styria
// Data collected by Magdalena Wipfler
// Written by Michael Schilde, 2007
// Modified by Fabien Tricoire, 2010 (added coordinates)
// ***************************************************************

// At first, the number of points, scores and constraints used
// have to be defined. Any number of points, constraints and
// scores is possible for the fileloader used. Check the
// corresponding solver program for specific limitations.

// Scores, coordinates and constraint values can be floating
// point values (using a point . as decimal point)

N, 559	// Number of points
S, 2		// Number of scores
C, 1		// Number of constraints
B, 0		// Index of the starting point
E, 0		// Index of the terminus point
M, 1		// 1 if distance matrix is given, 0 or missing to use
				// euclidean distances

// Constraints
// U...upper limit
// L...lower limit
// X..maximize
// I..minimize
// Type,score#,[value] (-1 = time/distance)
// (there's an override possibility via command line argument)
U, -1, 10

// Point indices start with 0: P0
// Index,x-coord,y-coord,score1,score2,score3,...
P0,   557900, 298913,   0,   0
P1,   542290, 269867,  59,  26
P2,   568604, 266799,  83,  18
P3,   602287, 257577,   1,  61
P4,   546013, 336100,  65,  76
P5,   532826, 297684,  85,  46
P6,   576212, 358463,   3,  46
P7,   599337, 323554,  20,  10
P8,   608056, 298856,  66,  63
P9,   594640, 286700,  26,  46
P10,  573828, 315438,   9,  33
P11,  533066, 332641,  30,  89
P12,  498485, 308838,  17,  46
P13,  463499, 301810,  64,  72
P14,  468396, 352838,   4,  23
P15,  586389, 259670,  98,  64
P16,  603222, 283100,   8,   8
P17,  510850, 362939,  95,  61
P18,  484223, 346314,  19,  21
P19,  429544, 337240,  70,  87
P20,  452757, 327955,  18,  78
P21,  572745, 350563,  14,  84
P22,  562071, 347901,  41,  99
P23,  506584, 303188,  55,  21
P24,  542870, 346349,  55,  93
P25,  546588, 334323,  82,  37
P26,  546623, 334382,  47,  72
P27,  546778, 334360,  17,  86
P28,  563519, 248339,  69,  73
P29,  542896, 346285,  66,  84
P30,  607795, 295515,  16,  36
P31,  499183, 354505,   2,  38
P32,  546700, 334298,  32,  14
P33,  546634, 334350,  32,  53
P34,  538034, 268943,  40,   2
P35,  494930, 348969,  81,  83
P36,  563654, 319746,   5,  43
P37,  481704, 298824,  90,  99
P38,  487145, 337812,  98,  55
P39,  483495, 297974,  99,  24
P40,  578394, 322067,  45,  40
P41,  578225, 306578,  28,  89
P42,  596393, 278542,   7,  95
P43,  449959, 340090,  92,  60
P44,  568983, 334108,  58,  70
P45,  590441, 290836,  49,  27
P46,  432237, 360057,  82,  98
P47,  509114, 363729,  47,  40
P48,  533176, 332733,  22,  17
P49,  568018, 351822,  70,  44
P50,  568018, 351822,  40,  64
P51,  561271, 282920,  78,  41
P52,  573239, 315616,  69,  46
P53,  534301, 299451,  91,   4
P54,  546167, 337380,  60,  79
P55,  557511, 276382,  88,  57
P56,  553080, 272804,  32,  24
P57,  545853, 269977,  41,  29
P58,  540245, 267693,   1,  46
P59,  552118, 330971,   7,  16
P60,  543438, 262095,   7,  67
P61,  550970, 262205,  27,  86
P62,  547657, 259506,  76,   7
P63,  601133, 287894,  38,  93
P64,  600822, 287495,  20,  84
P65,  607887, 286985,  97,  58
P66,  599681, 284658,  52,  64
P67,  602939, 284547,  69,  24
P68,  577665, 281731,  50,  63
P69,  601458, 280101,  63,  15
P70,  595641, 305784,  13,  27
P71,  598463, 302638,  14,  20
P72,  598602, 300494,   1,  95
P73,  540531, 325030,  81,  58
P74,  550152, 319989,  13,  71
P75,  549567, 318185,  73,  23
P76,  562671, 311975,  60,  58
P77,  568844, 307206,  93,  38
P78,  547115, 297282,  85,  13
P79,  564969, 297140,  62,  29
P80,  548168, 294829,  23,  89
P81,  547457, 294602,  25,  49
P82,  548701, 294050,  26,  62
P83,  568544, 294011,  94,  46
P84,  549528, 293240,  25,  81
P85,  570421, 293644,  35,  98
P86,  576534, 292900,   8,  22
P87,  563463, 290065,  93,  70
P88,  566518, 289645,  97,  96
P89,  565783, 284063,  36,  92
P90,  562149, 282062,  84,  13
P91,  564617, 281270,  47,  58
P92,  557319, 280372,   2,  49
P93,  594601, 343652,  39,  46
P94,  601535, 338614,  82,  11
P95,  599305, 329700,  89,  26
P96,  588718, 317579,  83,  87
P97,  600615, 312502,  94,  70
P98,  567619, 283734,  98,  22
P99,  568772, 281822,  34,  15
P100, 567361, 279643,  97,   1
