Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p33_t055.txt;55;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;4,78892;4,78913;46;57;0;0;46;57;
2;4,84793;4,84816;42;55;0;0;42;55;
3;4,8025;4,80251;41;53;0;0;41;53;
4;4,78507;4,78513;45;58;0;0;45;58;
5;4,79627;4,7963;43;55;0;0;43;55;
6;4,77924;4,77924;45;57;0;0;45;57;
7;4,79767;4,79772;44;58;0;0;44;58;
8;4,82543;4,82554;40;53;0;0;40;53;
9;4,82108;4,82109;46;56;0;0;46;56;
10;4,79636;4,79646;35;56;0;0;35;56;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;53,7284;0,095894;460;628;0-23-24-21-6-4-26-22-3-13-27-19-12-2-5-1-7-30-11-28-29-25-31-32
;;2;53,0925;0,143373;460;628;0-23-26-22-31-25-29-28-11-30-7-1-5-12-19-2-3-13-27-4-6-21-24-32
;;3;53,5316;0,190964;460;628;0-23-24-21-6-4-26-13-27-3-19-12-2-5-1-7-30-11-28-29-25-31-22-32
;;4;54,7149;0,286101;460;628;0-24-21-23-22-26-6-4-27-13-3-2-19-12-5-1-7-30-11-28-29-25-31-32
;;5;53,027;0,381163;460;628;0-23-26-22-31-25-29-28-11-30-7-1-5-2-12-19-3-13-27-4-6-21-24-32
;;6;53,3132;0,474818;460;628;0-22-26-23-24-21-6-4-27-13-3-2-19-12-5-1-7-30-11-28-29-25-31-32
;;7;53,8338;0,712344;460;628;0-23-24-21-6-4-26-22-13-27-3-2-19-12-5-1-7-30-11-28-29-25-31-32
;;8;53,7683;0,759548;460;628;0-23-24-21-6-4-26-22-13-27-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;9;54,4689;1,09548;460;628;0-22-23-24-21-6-4-26-13-27-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;10;53,2477;1,19079;460;628;0-22-26-23-24-21-6-4-27-13-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;11;54,5344;1,95673;460;628;0-22-23-24-21-6-4-26-13-27-3-2-19-12-5-1-7-30-11-28-29-25-31-32
;;12;54,6494;2,7286;460;628;0-24-21-23-22-26-6-4-27-13-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;13;54,8586;3,01556;460;628;0-24-21-6-4-23-22-26-13-27-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;14;54,9105;3,87888;460;628;0-23-24-21-26-6-4-27-13-3-19-12-2-5-1-7-30-11-28-29-25-31-22-32
;;15;53,5971;4,16846;460;628;0-23-24-21-6-4-26-13-27-3-2-19-12-5-1-7-30-11-28-29-25-31-22-32
;;16;54,9762;4,5025;460;628;0-23-24-21-22-26-6-4-27-13-3-19-12-2-5-1-7-30-11-28-29-25-31-32
;;17;54,7941;0,333395;470;623;0-23-26-22-31-25-28-11-30-7-1-5-14-15-12-2-3-13-27-4-6-21-24-32
;;18;54,9018;0,333423;480;616;0-22-26-23-24-21-6-4-27-13-3-2-19-12-14-5-1-7-30-11-28-25-31-32
;;19;54,681;2,43959;480;616;0-23-26-22-31-25-28-11-30-7-1-5-14-12-19-2-3-13-27-4-6-21-24-32
;;20;54,0856;0,663751;490;603;0-23-24-21-6-4-27-13-3-19-16-12-2-5-1-7-30-11-28-29-25-31-22-32
;;21;54,151;2,3913;490;603;0-23-24-21-6-4-27-13-3-2-19-16-12-5-1-7-30-11-28-29-25-31-22-32
;;22;54,9876;0,239096;500;598;0-23-26-22-31-25-28-11-30-7-1-5-12-15-16-19-3-13-27-4-6-21-24-32
;;23;54,536;0,474815;530;593;0-23-22-26-21-6-4-27-13-3-2-19-16-15-12-5-1-7-30-11-28-29-25-31-32
