Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p66_t040.txt;40;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;8,18796;8,18816;33;42;14;2;29;42;
2;8,21172;8,21208;32;40;9;1;29;40;
3;8,19372;8,19389;45;42;14;1;36;40;
4;8,20382;8,20397;33;46;20;0;29;46;
5;8,22568;8,22598;32;39;10;3;27;38;
6;8,2434;8,2434;34;50;13;1;30;50;
7;8,23727;8,23765;34;52;5;5;29;35;
8;8,23995;8,24028;41;35;10;2;30;33;
9;8,2941;8,2942;35;45;6;3;32;41;
10;8,25308;8,2535;37;39;10;9;32;36;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;39,8929;1,14381;305;517;0-36-37-38-46-54-53-45-44-43-35-28-27-18-10-11-12-20-21-29-65
;;2;39,8929;6,39342;305;517;0-36-37-38-46-54-53-45-44-43-35-27-18-10-11-12-21-20-28-29-65
;;3;39,7492;1,71089;355;472;0-36-44-45-53-52-51-43-42-34-26-27-18-10-11-12-20-21-29-28-65
;;4;39,0645;4,24351;355;472;0-28-36-44-45-53-52-51-42-34-35-27-26-18-10-11-12-20-21-29-65
;;5;39,8929;6,63876;365;467;0-36-45-44-43-42-41-33-34-35-27-26-18-10-11-12-20-28-21-29-65
;;6;39,8929;7,29132;365;467;0-36-45-44-43-42-41-33-34-35-28-27-26-18-10-11-12-20-21-29-65
;;7;39,8929;0,081108;375;457;0-36-45-44-43-35-28-27-26-34-33-25-17-18-10-11-12-20-21-29-65
;;8;39,8929;5,81967;385;451;0-36-28-27-34-35-44-43-42-41-33-25-26-18-10-11-12-20-21-29-65
;;9;39,0645;8,18794;395;443;0-28-36-44-52-53-54-46-47-39-32-24-23-15-14-13-12-20-21-29-65
;;10;39,0645;6,88267;425;414;0-28-36-44-52-53-61-60-59-58-50-42-34-26-18-11-12-20-21-29-65
;;11;39,0645;0,733061;435;402;0-28-36-44-43-42-34-33-25-17-9-1-2-10-18-11-12-20-21-29-65
;;12;39,0645;2,77386;455;379;0-28-36-44-52-51-59-58-49-41-33-25-17-18-10-11-12-20-21-29-65
;;13;39,0645;3,4277;475;360;0-28-36-44-52-53-61-62-54-55-56-48-40-32-24-16-15-14-21-29-65
;;14;39,8929;6,15043;505;330;0-36-44-53-54-62-61-60-59-58-57-49-41-33-25-17-18-27-28-29-65
;;15;39,7492;0,981061;515;312;0-28-20-12-11-10-18-17-25-33-41-49-57-58-59-60-61-53-44-36-65
;;16;39,7492;3,34718;525;295;0-36-44-53-54-62-61-60-59-58-57-49-41-33-25-17-18-26-27-28-65
;;17;39,8929;7,61571;545;264;0-36-44-52-60-59-58-57-49-41-33-25-17-9-1-2-3-12-20-29-65
;;18;39,8106;0,161301;555;239;0-36-44-43-42-41-49-57-58-59-60-61-62-63-64-56-48-40-39-38-65
;;19;39,7492;8,19572;345;491;0-28-27-35-34-26-18-10-11-12-20-21-29-38-46-54-53-52-44-36-65
;;20;39,8929;8,19649;335;493;0-28-36-35-34-26-18-10-11-12-20-21-29-38-46-54-53-52-44-37-65
;;21;39,8929;8,20236;325;506;0-36-37-38-46-54-53-44-43-35-34-26-18-10-11-12-21-20-28-29-65
;;22;39,8929;8,20364;315;511;0-36-37-38-46-54-53-44-43-35-27-26-18-10-11-12-21-20-28-29-65
;;23;39,0645;8,22378;415;425;0-28-36-44-52-53-60-59-58-50-42-34-26-18-10-11-12-20-21-29-65
;;24;39,7492;8,24492;465;369;0-36-44-45-53-54-55-56-48-40-32-24-16-15-7-6-14-21-29-28-65
;;25;39,8929;8,25695;485;347;0-36-44-53-52-60-59-58-57-49-41-33-25-17-18-11-12-20-28-29-65
;;26;39,8929;8,27098;535;286;0-36-44-53-54-62-63-64-56-48-40-32-24-16-8-7-6-14-21-29-65
;;27;39,0645;8,29213;405;434;0-28-36-44-45-53-60-59-58-50-42-34-26-18-10-11-12-20-21-29-65
;;28;39,8929;8,3082;495;336;0-36-44-52-53-61-60-59-58-57-49-41-33-25-17-18-11-20-28-29-65
;;29;39,8929;8,32207;445;390;0-36-44-53-52-60-59-58-57-49-42-34-26-18-10-11-12-20-28-29-65

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;39,8929;1,83461;305;517;0-36-37-38-46-54-53-45-44-43-35-27-18-10-11-12-21-20-28-29-65
;;2;39,0645;1,84446;305;517;0-28-36-37-38-46-54-53-45-44-43-35-27-18-10-11-12-20-21-29-65
;;3;39,8929;1,88536;305;517;0-36-28-20-21-12-11-10-18-27-35-43-44-45-53-54-46-38-37-29-65
;;4;39,8929;4,5347;315;511;0-36-37-46-38-39-47-55-54-53-44-43-35-34-26-27-28-20-21-29-65
