Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p66_t125.txt;125;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;32,1059;32,1069;13;45;0;0;13;45;
2;32,3889;32,3905;14;31;0;0;14;31;
3;32,2876;32,289;14;28;0;0;14;28;
4;32,4442;32,4468;20;63;0;0;20;63;
5;32,6077;32,6087;18;38;0;0;18;38;
6;32,4859;32,4877;20;22;0;0;20;22;
7;32,5399;32,5416;14;54;0;0;14;54;
8;32,5612;32,5617;16;19;0;0;16;19;
9;32,6493;32,6504;16;100;0;0;16;100;
10;32,6662;32,6676;16;28;0;0;16;28;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;124,236;28,9061;1610;906;0-36-44-43-35-27-26-34-33-25-17-9-1-2-3-4-5-6-7-8-16-15-14-22-21-13-12-11-10-18-19-20-28-29-30-31-23-24-32-40-48-47-39-38-46-54-55-63-62-61-60-59-58-57-49-41-42-50-51-52-53-45-37-65
;;2;124,236;5,74358;1620;901;0-36-35-27-19-20-28-29-21-13-5-6-7-8-16-24-32-40-48-56-64-63-62-61-60-59-58-50-49-41-33-25-17-9-1-2-3-4-12-11-10-18-26-34-42-43-44-52-53-54-55-47-39-31-23-15-14-22-30-38-46-45-37-65
;;3;124,921;9,2716;1630;899;0-37-36-35-43-44-52-60-61-62-63-64-56-48-47-55-54-53-45-46-38-39-31-32-24-16-8-7-6-5-4-3-2-1-9-17-25-33-41-49-57-58-59-51-50-42-34-26-27-28-20-19-18-10-11-12-13-14-15-23-22-21-29-65
;;4;124,921;26,6583;1640;892;0-36-37-29-21-20-12-4-5-6-7-8-16-24-32-40-48-56-64-63-62-61-60-59-58-57-49-41-33-25-17-9-1-2-3-11-10-18-26-34-42-50-51-52-53-54-55-47-39-31-23-15-14-22-30-38-46-45-44-43-35-27-28-65
;;5;124,921;7,67876;1650;889;0-29-21-20-19-27-28-36-35-34-33-41-49-57-58-59-60-61-62-63-64-56-48-40-32-24-16-8-7-6-5-4-3-2-1-9-17-25-26-18-10-11-12-13-14-15-23-31-39-47-55-54-53-52-51-50-42-43-44-45-46-38-37-65
;;6;124,236;15,7292;1650;889;0-36-28-29-21-20-19-27-35-34-33-41-49-57-58-59-60-61-62-63-64-56-48-40-32-24-16-8-7-6-5-4-3-2-1-9-17-25-26-18-10-11-12-13-14-15-23-31-39-47-55-54-53-52-51-50-42-43-44-45-46-38-37-65
;;7;124,921;17,6559;1650;889;0-36-44-52-60-61-62-63-64-56-48-40-32-24-16-8-7-6-5-4-3-2-1-9-17-25-33-41-42-50-49-57-58-59-51-43-35-34-26-18-10-11-12-13-14-15-23-31-39-47-55-54-53-45-46-38-37-29-21-20-19-27-28-65
;;8;124,236;21,1929;1650;889;0-36-35-27-28-29-21-20-19-18-10-11-12-13-14-15-23-31-32-24-16-8-7-6-5-4-3-2-1-9-17-25-26-34-33-41-49-57-58-59-51-50-42-43-44-52-60-61-62-63-64-56-48-40-39-47-55-54-53-45-46-38-37-65
;;9;124,236;2,87624;1660;857;0-36-44-52-53-61-60-59-58-57-49-41-33-25-17-9-1-2-3-4-5-6-7-8-16-24-32-40-48-56-64-63-62-54-55-47-39-31-23-15-14-13-12-11-10-18-26-34-42-50-51-43-35-27-19-20-21-29-30-38-46-45-37-65
;;10;124,236;6,71028;1670;839;0-28-20-19-27-35-43-44-52-60-61-62-63-64-56-48-40-32-24-16-8-7-6-5-4-3-2-1-9-17-25-33-41-49-57-58-59-51-50-42-34-26-18-10-11-12-13-14-15-23-31-39-47-55-54-53-45-46-38-30-22-21-29-65
;;11;124,236;10,5598;1670;839;0-28-20-19-27-35-43-44-52-51-50-42-34-26-18-10-11-12-13-14-15-16-8-7-6-5-4-3-2-1-9-17-25-33-41-49-57-58-59-60-61-62-63-64-56-48-40-32-24-23-31-39-47-55-54-53-45-46-38-30-22-21-29-65
