Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p32_t080.txt;80;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;6,23289;6,23327;32;47;0;0;32;47;
2;6,21561;6,2159;29;69;0;0;29;69;
3;6,21556;6,21563;35;69;0;0;35;69;
4;6,21328;6,21335;31;47;0;0;31;47;
5;6,21998;6,22021;32;47;0;0;32;47;
6;6,23725;6,23735;32;44;0;0;32;44;
7;6,20139;6,20145;29;66;0;0;29;66;
8;6,22214;6,22219;30;46;0;0;30;46;
9;6,22097;6,22112;33;71;0;0;33;71;
10;6,21145;6,21175;32;70;0;0;32;70;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;79,9274;0,06261;270;319;0-27-28-16-14-13-3-4-17-12-5-6-2-1-7-8-9-10-11-20-21-22-23-24-25-29-30-26-19-18-31
;;2;78,8346;0,062611;270;319;0-17-27-28-16-14-13-3-4-5-12-6-2-1-7-8-9-10-11-20-21-22-23-24-25-29-30-26-19-18-31
;;3;79,9019;0,062613;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-7-9-10-11-20-21-22-23-24-29-30-25-26-19-18-8-12-31
;;4;79,8786;0,062616;270;319;0-27-28-16-14-13-3-4-17-12-5-6-2-1-7-8-9-10-11-20-21-22-23-24-29-30-25-26-19-18-31
;;5;78,1566;0,062618;270;319;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;6;79,9507;0,130469;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-8-12-31
;;7;78,3046;0,191672;270;319;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-7-8-12-1-2-6-5-4-3-13-14-16-28-27-17-31
;;8;78,9099;0,253016;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-23-24-25-29-30-26-19-18-12-31
;;9;79,292;0,314262;270;319;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-7-8-12-5-6-1-2-4-3-13-14-16-28-27-17-31
;;10;79,6655;0,376501;270;319;0-17-5-12-18-19-26-30-29-25-24-23-22-21-20-11-10-9-8-7-1-2-6-4-3-13-14-16-28-27-31
;;11;79,6167;0,376502;270;319;0-17-5-12-18-19-26-25-30-29-24-23-22-21-20-11-10-9-8-7-1-2-6-4-3-13-14-16-28-27-31
;;12;78,7858;0,439471;270;319;0-17-27-28-16-14-13-3-4-5-12-6-2-1-7-8-9-10-11-20-21-22-23-24-29-30-25-26-19-18-31
;;13;78,9826;0,439473;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-12-8-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-31
;;14;79,6614;1,37859;270;319;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-7-8-12-5-1-2-6-4-3-13-14-16-28-27-17-31
;;15;78,9338;1,37859;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-12-8-7-9-10-11-20-21-22-23-24-29-30-25-26-19-18-31
;;16;79,97;1,75033;270;319;0-17-27-28-16-14-13-3-4-2-1-6-5-12-8-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-31
;;17;78,1078;2,12756;270;319;0-18-19-26-25-30-29-24-23-22-21-20-11-10-9-8-7-1-2-6-12-5-4-3-13-14-16-28-27-17-31
;;18;79,2432;2,62743;270;319;0-18-19-26-25-30-29-24-23-22-21-20-11-10-9-7-8-12-5-6-1-2-4-3-13-14-16-28-27-17-31
;;19;78,8611;3,06076;270;319;0-17-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-23-24-29-30-25-26-19-18-12-31
;;20;79,9212;3,12795;270;319;0-17-27-28-16-14-13-3-4-2-1-6-5-12-8-7-9-10-11-20-21-22-23-24-29-30-25-26-19-18-31
;;21;78,2971;4,05283;270;319;0-27-28-16-14-13-3-4-5-6-2-1-7-8-9-10-11-20-21-22-23-24-29-30-25-26-19-18-12-17-31
;;22;79,3867;4,2463;270;319;0-27-28-16-14-13-3-4-5-6-2-1-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-8-12-17-31
;;23;79,3379;4,86201;270;319;0-27-28-16-14-13-3-4-5-6-2-1-7-9-10-11-20-21-22-23-24-29-30-25-26-19-18-8-12-17-31
;;24;79,7532;0,253032;275;317;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-8-7-1-12-5-6-4-3-13-14-15-16-28-27-17-31
;;25;79,9899;0,191653;280;308;0-12-18-19-26-30-29-25-24-23-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-31
;;26;79,8849;0,314258;280;308;0-27-28-16-15-14-13-3-4-5-6-2-1-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-8-12-31
;;27;79,9411;0,62599;280;308;0-12-18-19-26-25-30-29-24-23-22-21-20-11-10-9-8-7-1-2-6-5-4-3-13-14-15-16-28-27-31
;;28;78,9168;0,687475;280;308;0-27-28-16-15-14-13-3-4-5-6-2-1-12-8-7-9-10-11-20-21-22-23-24-25-29-30-26-19-18-31
;;29;79,2574;0,935905;280;308;0-18-19-26-30-29-25-24-23-22-21-20-11-10-9-7-8-12-1-2-6-5-4-3-13-14-15-16-28-27-31
