Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p292.txt;15;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;48,0211;48,0227;15;33;13;22;15;30;
2;48,3021;48,3023;17;23;16;10;13;20;
3;48,1983;48,1993;18;10;14;0;16;10;
4;48,3283;48,3289;15;21;13;11;16;21;
5;48,4585;48,4588;12;13;9;5;14;16;
6;48,4887;48,4894;14;174;7;13;11;173;
7;48,3825;48,384;13;14;14;7;14;14;
8;48,9087;48,9092;18;23;24;18;15;16;
9;49,2607;49,2617;15;30;19;20;16;27;
10;48,9618;48,9622;13;37;26;9;18;27;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;14,94;18,2165;1028;1296;0-202-45-250-143-257-244-164-16-108-40-219-231-30-49-211-73-241-102-132-240-10-0
;;2;14,9;33,1087;1143;1284;0-202-45-250-143-257-254-111-28-234-217-244-73-211-16-108-219-132-209-240-10-0
;;3;14,84;36,455;1319;1168;0-202-45-250-143-257-111-28-248-69-67-4-26-97-2-1-5-84-209-240-10-0
;;4;14,96;0,958094;1331;1124;0-202-45-250-143-257-254-111-182-215-96-248-245-69-1-2-26-4-5-67-9-84-225-0
;;5;14,88;21,1034;1387;1105;0-202-45-250-143-257-111-28-96-248-8-5-4-67-2-97-26-245-69-1-84-134-0
;;6;14,73;11,9627;1394;1091;0-202-45-250-143-257-182-215-96-248-245-69-1-2-5-4-26-97-9-67-84-238-225-0
;;7;14,98;48,0273;943;1326;0-202-45-250-143-257-111-158-73-211-16-108-40-219-231-30-49-164-241-240-10-0
;;8;14,89;48,0406;1015;1312;0-202-45-250-143-257-111-217-244-73-211-16-108-40-219-231-30-49-164-241-240-10-0
;;9;14,98;48,0702;1234;1257;0-202-45-250-143-257-254-182-215-234-217-244-73-211-164-16-108-219-132-209-240-10-0
;;10;14,88;49,0369;1497;956;0-202-45-250-143-254-182-215-96-248-5-1-26-245-69-97-2-67-4-84-238-134-0
;;11;14,85;49,1847;1359;1118;0-202-45-250-143-257-111-28-96-248-5-1-26-245-69-97-2-67-4-84-238-225-0
;;12;15;49,307;1469;1073;0-202-45-250-143-257-182-215-96-248-245-69-1-2-5-4-26-97-9-67-84-238-134-0
;;13;14,96;49,3098;1475;1015;0-202-45-250-143-257-182-215-96-248-8-69-1-2-5-4-26-97-9-67-84-238-134-0
;;14;14,9;49,3162;1040;1293;0-202-45-250-143-257-182-217-244-73-211-16-108-40-219-231-30-49-164-241-240-10-0
;;15;14,94;49,4144;1422;1090;0-202-45-250-143-257-111-96-248-8-9-5-1-26-245-69-97-2-67-4-84-238-134-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;14,89;8,91598;958;1301;0-202-78-232-229-240-209-155-7-102-132-40-211-73-164-108-219-231-30-16-241-10-0
;;2;15;8,5365;1070;1230;0-202-45-250-143-257-211-73-164-132-7-210-40-219-231-30-234-16-241-10-0
;;3;14,94;2,06841;1095;1219;0-202-45-78-11-232-229-240-209-128-7-210-132-102-219-30-231-217-234-16-241-10-0
;;4;14,94;1,92987;1107;1212;0-202-45-11-78-232-229-240-209-128-51-7-210-132-219-30-231-217-234-16-241-10-0
;;5;14,94;1,98326;1107;1212;0-202-45-78-11-232-229-240-209-128-51-7-210-132-219-30-231-217-234-16-241-10-0
;;6;14,98;9,10747;1146;1195;0-202-45-250-143-257-96-245-69-1-4-26-28-234-108-219-231-16-241-10-0
