Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p292.txt;20;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;74,0787;74,0788;17;16;10;13;15;17;
2;74,4332;74,4362;21;22;8;11;24;19;
3;73,8482;73,849;17;21;9;24;16;16;
4;74,078;74,0791;17;29;17;19;17;17;
5;74,6193;74,6202;23;37;9;11;24;27;
6;74,5518;74,554;17;30;2;23;17;21;
7;73,777;73,7772;21;19;6;21;16;16;
8;74,7946;74,7955;17;30;11;7;16;23;
9;74,6042;74,6058;19;25;21;11;18;17;
10;74,668;74,6698;17;21;12;6;17;16;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;19,97;21,4325;1330;1689;0-202-45-250-143-257-111-109-20-160-214-28-244-158-73-211-16-108-40-219-231-30-49-164-241-240-10-0
;;2;19,84;29,6842;1441;1670;0-202-45-250-143-257-111-109-20-160-214-244-73-211-16-108-40-219-231-30-49-164-241-132-102-209-240-10-0
;;3;19,98;14,8522;1503;1660;0-202-45-250-143-257-111-109-20-160-214-234-217-244-73-211-16-108-40-219-231-30-164-241-102-132-240-10-0
;;4;19,97;54,1448;1809;1546;0-202-45-250-143-257-254-244-217-234-164-16-108-40-219-231-30-49-211-73-96-248-69-2-1-26-4-5-67-9-84-0
;;5;19,88;18,5015;1815;1410;0-202-45-250-143-257-96-248-69-1-2-3-4-5-6-9-67-97-26-245-8-247-144-31-246-87-62-126-233-209-10-0
;;6;19,87;22,9341;1872;1388;0-202-45-250-143-257-96-248-6-4-5-1-9-67-97-26-245-69-8-247-144-31-246-213-87-62-126-233-209-134-0
;;7;19,87;9,62864;1937;1386;0-202-45-250-143-257-96-248-2-4-5-1-9-67-97-26-245-69-8-247-144-31-246-213-87-62-126-233-209-134-0
;;8;19,87;58,536;1937;1386;0-202-45-250-143-257-96-248-5-2-4-1-9-67-97-26-245-69-8-247-144-31-246-213-87-62-126-233-209-134-0
;;9;19,87;20,6946;1978;1238;0-202-45-250-143-254-96-248-69-1-97-26-2-3-4-5-6-9-67-247-144-31-246-213-87-62-126-233-209-134-0
;;10;19,87;60,0069;1978;1238;0-202-45-250-143-254-96-248-69-5-97-26-1-2-3-4-6-9-67-247-144-31-246-213-87-62-126-233-209-134-0
;;11;19,9;75,3329;1764;1594;0-202-45-250-143-257-234-217-244-211-73-164-16-108-40-219-231-30-49-96-248-69-2-1-67-4-5-26-9-84-225-0
;;12;19,9;75,3402;1808;1587;0-202-45-250-143-257-234-217-244-211-73-164-16-108-40-219-231-30-49-96-248-69-2-1-5-4-26-97-67-84-225-0
;;13;19,91;75,3818;1954;1348;0-202-45-250-143-257-96-248-3-5-2-4-1-9-67-97-26-245-69-8-247-144-31-246-213-87-62-126-233-235-134-0
