Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p292.txt;4;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;6,75989;6,76013;5;5;0;0;5;5;
2;6,78022;6,78033;5;5;0;0;5;5;
3;6,70387;6,70432;6;5;3;0;6;5;
4;6,7531;6,75364;6;5;1;0;7;5;
5;6,85207;6,85213;6;5;0;0;6;5;
6;6,78087;6,78088;5;5;0;0;5;5;
7;6,80527;6,80566;4;5;0;0;4;5;
8;6,79434;6,79474;4;5;0;0;4;5;
9;6,82664;6,82715;5;5;0;0;5;5;
10;6,76769;6,76769;4;5;2;0;6;5;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;4,47129;180;308;0-202-78-229-240-228-10-0
;;2;4;6,69232;240;290;0-202-45-78-240-10-0
;;3;3,96;1,49269;245;278;0-202-45-78-229-228-10-0
;;4;3,97;0,067997;366;273;0-202-45-250-143-10-0
;;5;3,97;0,067999;368;252;0-202-45-250-143-228-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,001628;180;308;0-202-78-229-240-228-10-0
;;2;3,87;0,004599;246;300;0-202-78-240-209-10-0
;;3;3,87;0,005018;282;276;0-202-11-240-209-10-0
;;4;3,97;0,007876;366;273;0-202-45-250-143-10-0
;;5;3,97;0,007411;368;252;0-202-45-250-143-228-0

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;6,37514;180;308;0-202-78-229-240-228-10-0
;;2;3,82;2,96681;216;284;0-202-11-229-240-228-10-0
;;3;3,96;0,8764;245;278;0-202-45-78-229-228-10-0
;;4;3,97;0,067352;366;273;0-202-45-250-143-10-0
;;5;3,97;0,067351;368;252;0-202-45-250-143-228-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,006217;180;308;0-202-78-229-240-228-10-0
;;2;3,87;0,001676;246;300;0-202-78-240-209-10-0
;;3;3,87;0,001243;282;276;0-202-11-240-209-10-0
;;4;3,97;0,003628;366;273;0-202-45-250-143-10-0
;;5;3,97;0,00315;368;252;0-202-45-250-143-228-0

Run;3
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,67;1,40359;159;319;0-202-78-240-232-10-0
;;2;3,82;0,7364;180;308;0-202-78-229-240-10-228-0
;;3;3,97;0,066682;366;273;0-202-45-250-143-10-0
;;4;3,97;0,066683;368;252;0-202-45-250-143-228-0
;;5;3,87;6,71002;246;300;0-202-78-240-209-10-0
;;6;3,87;6,72128;282;276;0-202-11-240-209-10-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,001771;180;308;0-202-78-229-240-228-10-0
;;2;3,87;0,012383;246;300;0-202-78-240-209-10-0
;;3;3,87;0,006649;282;276;0-202-11-240-209-10-0
;;4;3,97;0,009766;366;273;0-202-45-250-143-10-0
;;5;3,97;0,008875;368;252;0-202-45-250-143-228-0

Run;4
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,67;5,60638;159;319;0-202-78-240-232-10-0
;;2;3,82;0,879871;180;308;0-202-78-229-240-10-228-0
;;3;3,82;1,41948;216;284;0-202-11-229-240-228-10-0
;;4;3,96;5,26937;245;278;0-202-45-78-229-228-10-0
;;5;3,97;0,067767;366;273;0-202-45-250-143-10-0
;;6;3,97;0,067769;368;252;0-202-45-250-143-228-0
;;7;3,8;6,75355;220;281;0-202-78-232-229-230-10-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,007023;180;308;0-202-78-229-240-228-10-0
;;2;3,87;0,002709;246;300;0-202-78-240-209-10-0
;;3;3,87;0,002282;282;276;0-202-11-240-209-10-0
;;4;3,97;0,028345;366;273;0-202-45-250-143-10-0
;;5;3,97;0,027877;368;252;0-202-45-250-143-228-0

Run;5
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,892904;180;308;0-202-78-229-240-228-10-0
;;2;3,82;2,67509;180;308;0-202-78-229-240-10-228-0
;;3;4;0,205187;240;290;0-202-45-78-240-10-0
;;4;3,96;2,12522;245;278;0-202-45-78-229-228-10-0
;;5;3,97;0,06729;366;273;0-202-45-250-143-10-0
;;6;3,97;0,067292;368;252;0-202-45-250-143-228-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;3,82;0,00249;180;308;0-202-78-229-240-228-10-0
;;2;3,87;0,007965;246;300;0-202-78-240-209-10-0
;;3;3,87;0,007119;282;276;0-202-11-240-209-10-0
;;4;3,97;0,011866;366;273;0-202-45-250-143-10-0
