Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p97.txt;19;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;1,57604;1,57604;15;25;0;0;15;25;
2;1,57743;1,57747;15;25;0;0;15;25;
3;1,5772;1,57725;15;24;0;0;15;24;
4;1,57543;1,57549;15;17;0;0;15;17;
5;1,58518;1,58524;15;19;0;0;15;19;
6;1,58249;1,58249;15;20;0;0;15;20;
7;1,58621;1,58624;15;24;0;0;15;24;
8;1,57748;1,57751;15;19;0;0;15;19;
9;1,59565;1,59567;15;25;0;0;15;25;
10;1,57945;1,57946;15;20;0;0;15;20;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;18,75;0,031363;339;412;44-38-15-14-11-12-80-44
;;2;17,17;0,015749;459;405;44-38-41-15-14-13-80-89-44
;;3;16,65;0,01575;459;405;44-38-41-89-15-14-13-80-44
;;4;17,98;0,015752;459;405;44-38-41-80-13-15-14-89-44
;;5;18,5;0,015754;459;405;44-38-41-89-80-13-15-14-44
;;6;17,98;0,015755;459;405;44-38-80-13-15-14-89-41-44
;;7;18,51;0,015758;459;405;44-38-89-80-13-15-14-41-44
;;8;17,86;0,015759;459;405;44-38-80-15-14-13-89-41-44
;;9;17,17;0,031351;459;405;44-38-15-14-13-80-89-41-44
;;10;16,66;0,031352;459;405;44-38-89-15-14-13-80-41-44
;;11;17,86;0,031359;459;405;44-38-41-80-15-14-13-89-44
;;12;18,14;0,031361;459;405;44-38-41-80-13-89-15-14-44
;;13;17,48;0,031366;459;405;44-38-80-89-15-14-13-41-44
;;14;17,48;0,046961;459;405;44-38-41-80-89-15-14-13-44
;;15;18,14;0,208232;459;405;44-38-80-13-89-15-14-41-44

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;18,75;0,241863;339;412;44-38-15-14-11-12-80-44
;;2;18,5;0,00016;459;405;44-38-41-89-80-13-15-14-44
;;3;16,65;0,000381;459;405;44-38-41-89-15-14-13-80-44
;;4;17,48;0,000904;459;405;44-38-41-80-89-15-14-13-44
;;5;18,14;0,000974;459;405;44-38-41-80-13-89-15-14-44
;;6;17,98;0,002445;459;405;44-38-41-80-13-15-14-89-44
;;7;17,17;0,008691;459;405;44-38-41-15-14-13-80-89-44
;;8;17,86;0,012188;459;405;44-38-41-80-15-14-13-89-44
;;9;17,49;0,049938;459;405;44-41-89-15-14-13-80-38-44
;;10;18,32;0,050516;459;405;44-41-80-89-15-14-13-38-44
;;11;18,82;0,051545;459;405;44-41-80-13-15-14-89-38-44
;;12;16,66;0,053184;459;405;44-38-89-15-14-13-80-41-44
