Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p559.txt;90;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;35,4499;35,4525;7;23;0;0;7;23;
2;35,3455;35,3473;10;12;1;0;11;12;
3;35,5131;35,5154;10;9;0;1;10;8;
4;35,8794;35,8831;8;12;0;0;8;12;
5;35,8909;35,8914;9;15;0;0;9;15;
6;35,9526;35,9526;12;15;0;1;12;11;
7;35,43;35,4327;12;14;1;1;12;11;
8;34,7738;34,7739;10;25;0;1;10;16;
9;35,5978;35,598;11;14;0;0;11;14;
10;35,0639;35,0639;10;8;1;0;10;8;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;89,811;35,4499;865;1255;0-321-484-80-478-116-470-467-469-183-471-473-447-445-446-494-493-475-82-84-0
;;2;89,961;7,86398;937;1239;0-321-484-84-82-80-478-116-470-467-469-183-471-473-447-445-446-494-493-479-0
;;3;88,192;34,0516;962;1214;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-475-84-82-486-484-0
;;4;88,622;1,44168;992;1190;0-321-477-78-489-80-478-116-470-469-467-183-471-473-472-475-84-82-486-484-0
;;5;89,902;0,717037;1029;1187;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-472-475-82-84-479-0
;;6;89,902;1,79672;1029;1187;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-472-475-82-84-479-0
;;7;89,972;8,56131;1064;1174;0-321-477-78-489-80-478-116-470-469-467-183-471-473-472-82-84-479-486-484-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;89,892;0,203994;872;1236;0-159-491-479-84-475-473-471-183-469-467-470-116-478-80-82-484-321-0
;;2;89,892;5,71645;872;1236;0-159-491-479-84-475-473-471-183-467-469-470-116-478-80-82-484-321-0
;;3;89,722;7,09385;881;1235;0-479-84-475-472-473-471-183-467-469-470-116-478-81-80-82-486-484-321-0
;;4;89,722;7,29725;881;1235;0-479-84-475-472-473-471-183-469-467-470-116-478-81-80-82-486-484-321-0
;;5;88,922;7,07775;962;1214;0-477-78-489-80-81-478-116-470-469-467-183-471-473-475-84-82-486-484-321-0
;;6;88,192;7,82627;962;1214;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-475-84-82-486-484-0
;;7;89,222;5,85259;992;1190;0-484-486-84-82-475-472-473-471-183-467-469-470-116-478-80-489-78-477-321-0
;;8;89,222;7,63276;992;1190;0-484-486-84-82-475-472-473-471-183-469-467-470-116-478-80-489-78-477-321-0
;;9;88,622;7,72171;992;1190;0-321-477-78-489-80-478-116-470-467-469-183-471-473-472-475-84-82-486-484-0
;;10;89,932;5,85572;1029;1187;0-479-84-82-475-472-473-471-183-467-469-470-116-478-81-80-489-78-477-321-0
;;11;89,932;5,89768;1029;1187;0-479-84-82-475-472-473-471-183-469-467-470-116-478-81-80-489-78-477-321-0
;;12;89,902;6,21408;1029;1187;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-472-475-82-84-479-0
;;13;89,902;6,30137;1029;1187;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-472-475-82-84-479-0
;;14;89,892;1,18501;1030;1142;0-321-484-84-82-489-78-477-80-81-478-116-470-467-469-183-473-471-479-0
;;15;88,912;4,42093;1030;1142;0-479-84-116-470-469-467-471-473-183-478-81-80-477-78-489-82-484-321-0
;;16;89,002;4,424;1030;1142;0-321-484-477-78-489-80-81-478-470-469-467-183-473-471-116-82-84-479-0
;;17;89,002;4,43824;1030;1142;0-321-484-477-78-489-80-81-478-470-467-469-183-473-471-116-82-84-479-0
;;18;88,952;4,49169;1030;1142;0-321-484-477-78-489-80-81-478-116-470-467-469-471-473-183-82-84-479-0
;;19;89,821;22,9756;1036;1121;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-494-493-84-82-484-0
;;20;89,821;23,6493;1036;1121;0-321-477-78-489-80-81-478-116-470-467-469-183-471-473-494-493-84-82-484-0
;;21;88,712;0,432467;1060;1118;0-321-484-477-78-489-80-82-478-116-470-469-467-183-471-473-472-84-479-0
