Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p559.txt;115;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;61,7881;61,7922;13;25;2;4;10;19;
2;62,2899;62,2944;12;16;3;5;5;7;
3;62,0374;62,0381;7;67;4;5;8;56;
4;63,1346;63,1364;10;31;6;0;11;31;
5;62,8834;62,8845;7;44;7;11;9;28;
6;62,5865;62,5889;6;164;2;1;7;53;
7;63,3739;63,3745;8;16;4;7;9;17;
8;63,1558;63,1619;17;24;6;9;8;9;
9;62,5254;62,5281;9;28;10;6;14;16;
10;63,7164;63,7165;8;26;0;2;8;24;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;114,662;2,51599;1271;1742;0-321-484-486-84-82-80-81-478-116-470-469-467-183-471-473-441-447-445-440-443-438-442-182-208-459-457-0
;;2;114,921;0,614516;1306;1706;0-321-477-78-489-80-81-478-116-470-469-467-183-471-473-441-444-442-438-443-440-445-447-446-494-493-475-84-82-484-0
;;3;114,502;13,212;1396;1631;0-321-484-84-82-478-116-470-469-467-183-471-473-441-439-444-440-443-438-442-182-208-459-457-480-159-0
;;4;114,782;30,4148;1435;1630;0-321-484-477-78-489-80-82-478-116-470-469-467-183-471-473-441-447-445-440-443-438-442-182-208-459-457-0
;;5;114,782;47,5489;1435;1630;0-321-484-477-78-489-80-82-478-116-470-467-469-183-471-473-441-447-445-440-443-438-442-182-208-459-457-0
;;6;114,562;7,39839;1442;1580;0-321-477-78-489-80-82-84-478-116-470-469-467-183-471-473-441-439-444-440-443-438-442-208-182-459-457-0
;;7;114,642;1,87583;1482;1552;0-321-484-477-78-489-80-81-478-116-470-469-467-183-471-473-441-439-444-440-443-438-442-182-208-459-457-0
;;8;114,82;38,3595;1538;1482;0-159-480-455-360-339-327-335-331-333-336-328-329-324-337-332-334-325-198-338-356-323-359-358-55-454-51-0
;;9;114,321;65,8876;1330;1658;0-159-480-457-459-182-208-442-438-443-440-445-447-494-493-473-471-183-467-469-470-116-478-80-82-84-484-0
;;10;114,12;66,4505;1558;1404;0-480-358-359-356-323-338-198-325-334-332-324-337-326-328-336-333-335-327-331-339-360-454-55-455-51-159-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;114,65;3,32734;1402;1657;0-159-89-91-374-104-341-107-109-342-330-367-369-329-328-336-333-335-327-331-356-359-358-55-454-455-480-0
;;2;114,65;3,35604;1402;1657;0-159-89-91-374-104-341-107-109-342-330-367-369-329-328-336-333-331-327-335-356-359-358-55-454-455-480-0
;;3;114,65;3,36796;1402;1657;0-159-89-91-374-104-341-107-109-342-330-367-369-329-328-336-333-331-327-335-356-359-358-454-55-455-480-0
;;4;114,88;3,34984;1449;1629;0-87-89-91-374-104-341-107-109-342-330-367-369-329-328-336-333-335-327-331-356-359-358-55-454-455-480-0
;;5;114,88;3,36211;1449;1629;0-87-89-91-374-104-341-107-109-342-330-367-369-329-328-336-333-331-327-335-356-359-358-454-55-455-480-0
;;6;114,68;3,29411;1536;1536;0-87-89-91-374-104-341-107-109-342-329-328-324-336-333-331-327-335-339-356-323-359-358-55-454-455-480-0
;;7;114,64;3,55953;1551;1510;0-87-89-91-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-323-356-359-358-454-55-455-480-0
;;8;114,64;3,67015;1551;1510;0-87-89-91-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-356-323-359-358-454-55-455-480-0
;;9;114,64;4,38042;1551;1510;0-87-89-91-100-374-104-341-107-109-342-329-328-336-333-331-335-327-339-323-356-359-358-454-55-455-480-0
;;10;114,53;3,76505;1555;1502;0-159-89-98-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-356-323-359-358-454-55-455-480-0
;;11;114,53;3,78563;1555;1502;0-159-89-98-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-323-356-359-358-454-55-455-480-0
;;12;114,94;4,51799;1568;1483;0-87-89-98-100-374-104-341-107-109-342-329-328-324-337-336-333-331-335-327-339-358-454-55-455-480-0
;;13;114,76;3,75314;1602;1474;0-87-89-98-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-356-323-359-358-454-55-455-480-0
;;14;114,76;3,77943;1602;1474;0-87-89-98-100-374-104-341-107-109-342-329-328-336-333-331-327-335-339-323-356-359-358-454-55-455-480-0
