Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p21_t038.txt;38;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;1,64166;1,64166;15;15;0;0;15;15;
2;1,63862;1,63864;15;15;0;0;15;15;
3;1,65106;1,65106;15;15;0;0;15;15;
4;1,65186;1,65186;15;15;0;0;15;15;
5;1,64263;1,64275;15;15;0;0;15;15;
6;1,68201;1,68202;15;15;0;0;15;15;
7;1,6377;1,63773;15;15;0;0;15;15;
8;1,65398;1,65401;15;15;0;0;15;15;
9;1,64726;1,64727;15;15;0;0;15;15;
10;1,66764;1,6677;15;15;0;0;15;15;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;37,3109;0,01724;340;530;0-11-6-5-4-2-1-7-17-16-15-14-8-9-10-12-13-20
;;2;37,9592;0,01724;340;530;0-12-10-11-6-5-4-2-1-7-17-16-15-14-8-9-13-20
;;3;37,4426;0,017241;340;530;0-6-5-4-2-1-7-17-16-15-14-8-9-10-11-12-13-20
;;4;37,264;0,08283;340;530;0-6-5-4-2-1-17-15-14-16-7-8-9-10-11-12-13-20
;;5;37,7798;0,099184;340;530;0-11-6-5-4-2-1-17-16-15-14-7-8-9-10-12-13-20
;;6;37,2436;0,099189;340;530;0-11-6-5-4-2-1-7-17-15-14-16-8-9-10-12-13-20
;;7;37,3753;0,09919;340;530;0-6-5-4-2-1-7-17-15-14-16-8-9-10-11-12-13-20
;;8;37,9116;0,164938;340;530;0-6-5-4-2-1-17-16-15-14-7-8-9-10-11-12-13-20
;;9;37,1322;0,345666;340;530;0-11-6-5-4-2-1-17-15-14-16-7-8-9-10-12-13-20
;;10;37,7806;0,361984;340;530;0-12-10-11-6-5-4-2-1-17-15-14-16-7-8-9-13-20
;;11;37,8919;0,871425;340;530;0-12-10-11-6-5-4-2-1-7-17-15-14-16-8-9-13-20
;;12;36,9269;0,01723;350;510;0-11-6-5-4-2-3-19-18-17-16-7-8-9-10-12-13-20
;;13;37,0587;0,017232;350;510;0-6-5-4-2-3-19-18-17-16-7-8-9-10-11-12-13-20
;;14;37,5752;0,033451;350;510;0-12-10-11-6-5-4-2-3-19-18-17-16-7-8-9-13-20
;;15;37,8423;0,033452;360;490;0-6-5-4-1-2-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;37,264;0,000576;340;530;0-6-5-4-2-1-17-15-14-16-7-8-9-10-11-12-13-20
;;2;37,9116;0,001355;340;530;0-6-5-4-2-1-17-16-15-14-7-8-9-10-11-12-13-20
;;3;37,7798;0,001493;340;530;0-11-6-5-4-2-1-17-16-15-14-7-8-9-10-12-13-20
;;4;37,2436;0,001828;340;530;0-11-6-5-4-2-1-7-17-15-14-16-8-9-10-12-13-20
;;5;37,4426;0,003099;340;530;0-6-5-4-2-1-7-17-16-15-14-8-9-10-11-12-13-20
