Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p21_t035.txt;35;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;1,52019;1,52026;5;5;0;0;5;5;
2;1,5346;1,5346;5;5;0;0;5;5;
3;1,52686;1,5269;5;5;0;0;5;5;
4;1,53059;1,53061;5;5;0;0;5;5;
5;1,53085;1,53085;5;5;0;0;5;5;
6;1,53185;1,53185;5;5;0;0;5;5;
7;1,57628;1,57631;5;5;0;0;5;5;
8;1,53422;1,53427;5;5;0;0;5;5;
9;1,53216;1,53221;5;5;0;0;5;5;
10;1,53104;1,53109;5;5;0;0;5;5;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,3384;0,015611;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;2;32,6901;0,015611;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;3;32,8218;0,046044;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;4;33,8479;0,442869;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,091642;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000318;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;2;32,8218;0,000415;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,000476;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,3384;0,002062;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,141521;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,6901;0,030696;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;2;32,8218;0,030697;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;33,3384;0,030699;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;33,8479;0,0307;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,138454;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,3384;0,000171;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;2;32,8218;0,000302;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,001253;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,8479;0,003068;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,080935;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;3
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,015243;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;32,6901;0,015244;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;3;33,3384;0,045904;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;33,8479;0,076346;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,106707;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000252;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;2;32,8218;0,000294;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;33,3384;0,001028;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;32,6901;0,001857;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;5;34,9886;0,02546;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;4
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,015539;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;33,8479;0,015539;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;3;32,6901;0,01554;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,3384;0,030886;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,046256;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,6901;0,0004;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;2;32,8218;0,000443;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;33,3384;0,001466;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;33,8479;0,070804;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,074955;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;5
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,01545;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;32,6901;0,015453;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;3;33,3384;0,015454;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;33,8479;0,091836;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,046109;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,6901;0,000297;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;2;33,8479;0,000327;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;3;32,8218;0,001148;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;4;33,3384;0,001189;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,886139;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;6
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,015381;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;33,3384;0,015382;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;3;32,6901;0,030852;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,8479;0,39943;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,0768;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000569;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;2;32,8218;0,000766;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,001004;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,3384;0,002171;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,049577;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;7
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,015482;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;33,3384;0,015483;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;3;32,6901;0,03094;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,8479;0,092047;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,168698;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000223;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;2;32,8218;0,000592;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,000699;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,3384;0,001012;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,595293;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;8
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;32,8218;0,01523;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;2;32,6901;0,015232;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;3;33,3384;0,030781;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;4;33,8479;0,184365;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,077291;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000208;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;2;32,8218;0,000305;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,000461;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,3384;0,000576;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;5;34,9886;0,926963;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

Run;9
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,3384;0,015459;310;510;0-12-10-11-6-5-4-2-1-7-16-15-14-8-9-13-20
;;2;32,8218;0,01546;310;510;0-6-5-4-2-1-7-16-15-14-8-9-10-11-12-13-20
;;3;32,6901;0,015461;310;510;0-11-6-5-4-2-1-7-16-15-14-8-9-10-12-13-20
;;4;33,8479;0,198919;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
;;5;34,9886;0,812229;320;460;0-6-5-4-3-19-18-17-16-7-8-9-10-12-13-20

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;33,8479;0,000248;310;510;0-10-11-6-5-4-2-1-7-16-15-14-8-9-13-12-20
