Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;25;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;16,1443;16,1447;23;31;0;0;23;31;
2;16,3166;16,3166;22;31;0;0;22;31;
3;16,3127;16,3131;21;37;0;0;21;37;
4;16,4573;16,4581;24;39;0;0;24;39;
5;16,4971;16,498;20;39;0;0;20;39;
6;16,4445;16,4451;22;35;0;0;22;35;
7;16,6104;16,611;20;30;0;0;20;30;
8;16,4356;16,4367;19;38;0;0;19;38;
9;16,4972;16,498;22;28;0;0;22;28;
10;16,4415;16,4422;22;33;0;2;22;34;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,93;0,156072;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;2;24,84;0,156075;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;3;24,66;0,156076;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;4;24,28;0,31735;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
;;5;24,97;0,317353;556;489;559-420-422-424-164-138-160-423-419-421-413-418-559
;;6;24,88;0,634911;556;489;559-418-422-424-164-138-160-420-423-419-421-413-559
;;7;24,63;1,58507;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;8;24,93;2,71935;556;489;559-413-421-419-423-138-160-164-424-422-420-418-559
;;9;24,8;5,62226;556;489;559-422-424-164-160-420-138-423-419-421-413-418-559
;;10;24,14;10,4917;556;489;559-413-421-419-423-138-160-420-164-424-422-418-559
;;11;24,92;12,5971;556;489;559-422-424-164-138-160-423-419-421-413-420-418-559
;;12;24,77;0,156066;795;407;559-418-513-111-20-1-417-422-424-164-138-160-420-559
;;13;24,77;0,156068;795;407;559-422-513-111-20-1-417-424-164-138-160-420-418-559
;;14;24,77;0,156074;795;407;559-422-513-1-111-20-417-424-164-138-160-420-418-559
;;15;24,78;0,474211;795;407;559-418-422-513-111-20-1-417-424-164-138-160-420-559
;;16;24,77;0,634903;795;407;559-418-513-20-111-1-417-422-424-164-138-160-420-559
;;17;24,78;0,954975;795;407;559-418-422-513-1-111-20-417-424-164-138-160-420-559
;;18;24,77;1,26922;795;407;559-418-513-1-20-111-417-422-424-164-138-160-420-559
;;19;24,77;2,24112;795;407;559-418-513-1-111-20-417-422-424-164-138-160-420-559
;;20;24,77;3,20584;795;407;559-422-513-1-20-111-417-424-164-138-160-420-418-559
;;21;24,78;3,36886;795;407;559-418-422-513-1-20-111-417-424-164-138-160-420-559
;;22;24,76;6,74972;795;407;559-513-111-20-1-417-422-424-164-138-160-420-418-559
;;23;24,78;14,0485;795;407;559-418-422-513-20-111-1-417-424-164-138-160-420-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,93;0,004288;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;2;24,14;0,009097;556;489;559-413-421-419-423-138-160-420-164-424-422-418-559
;;3;24,28;0,012697;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
;;4;24,93;0,018464;556;489;559-413-421-419-423-138-160-164-424-422-420-418-559
;;5;24,63;0,020838;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;6;24,97;0,490229;556;489;559-420-422-424-164-138-160-423-419-421-413-418-559
;;7;24,91;0,490913;556;489;559-413-421-419-423-138-164-424-422-160-420-418-559
;;8;24,66;0,494735;556;489;559-413-421-419-423-164-138-160-420-424-422-418-559
;;9;24,8;0,529074;556;489;559-418-413-421-419-423-164-138-160-420-424-422-559
;;10;24,84;0,56694;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;11;24,66;0,618247;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;12;24,88;0,682551;556;489;559-418-422-424-164-138-160-420-423-419-421-413-559
;;13;24,77;0,842061;556;489;559-418-413-421-419-423-160-420-138-164-424-422-559
;;14;24,8;3,64984;556;489;559-422-424-164-160-420-138-423-419-421-413-418-559
;;15;24,92;15,4508;556;489;559-422-424-164-138-160-423-419-421-413-420-418-559
;;16;24,77;0,027722;795;407;559-422-513-1-20-111-417-424-164-138-160-420-418-559
;;17;24,78;0,028675;795;407;559-418-422-513-1-20-111-417-424-164-138-160-420-559
;;18;24,78;0,032487;795;407;559-418-422-513-1-111-20-417-424-164-138-160-420-559
;;19;24,77;0,03542;795;407;559-418-513-1-111-20-417-422-424-164-138-160-420-559
;;20;24,77;0,040358;795;407;559-418-513-111-20-1-417-422-424-164-138-160-420-559
;;21;24,78;0,042039;795;407;559-418-422-513-111-20-1-417-424-164-138-160-420-559
;;22;24,77;0,044459;795;407;559-418-513-1-20-111-417-422-424-164-138-160-420-559
;;23;24,77;0,143683;795;407;559-418-513-20-111-1-417-422-424-164-138-160-420-559
;;24;24,78;0,158131;795;407;559-418-422-513-20-111-1-417-424-164-138-160-420-559
;;25;24,77;0,183897;795;407;559-422-513-20-111-1-417-424-164-138-160-420-418-559
;;26;24,77;0,193665;795;407;559-422-513-1-111-20-417-424-164-138-160-420-418-559
;;27;24,76;0,20207;795;407;559-513-1-111-20-417-422-424-164-138-160-420-418-559
;;28;24,76;0,20726;795;407;559-513-20-111-1-417-422-424-164-138-160-420-418-559
;;29;24,76;0,218121;795;407;559-513-111-20-1-417-422-424-164-138-160-420-418-559
;;30;24,76;0,224505;795;407;559-513-1-20-111-417-422-424-164-138-160-420-418-559
;;31;24,77;0,260998;795;407;559-422-513-111-20-1-417-424-164-138-160-420-418-559

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,88;0,165166;556;489;559-418-422-424-164-138-160-420-423-419-421-413-559
;;2;24,93;0,165169;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;3;24,93;0,165172;556;489;559-413-421-419-423-138-160-164-424-422-420-418-559
;;4;24,66;0,165175;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;5;24,84;0,165175;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;6;24,63;0,494227;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;7;24,14;0,815065;556;489;559-413-421-419-423-138-160-420-164-424-422-418-559
;;8;24,97;4,91682;556;489;559-420-422-424-164-138-160-423-419-421-413-418-559
;;9;24,8;5,07617;556;489;559-422-424-164-160-420-138-423-419-421-413-418-559
;;10;24,92;7,68458;556;489;559-422-424-164-138-160-423-419-421-413-420-418-559
;;11;24,28;11,0875;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
;;12;24,78;0,165178;795;407;559-418-422-513-1-111-20-417-424-164-138-160-420-559
;;13;24,78;0,326043;795;407;559-418-422-513-1-20-111-417-424-164-138-160-420-559
;;14;24,77;0,326044;795;407;559-418-513-1-111-20-417-422-424-164-138-160-420-559
;;15;24,77;0,975879;795;407;559-418-513-111-20-1-417-422-424-164-138-160-420-559
;;16;24,77;1,47757;795;407;559-418-513-1-20-111-417-422-424-164-138-160-420-559
;;17;24,77;2,31952;795;407;559-418-513-20-111-1-417-422-424-164-138-160-420-559
;;18;24,78;2,80857;795;407;559-418-422-513-111-20-1-417-424-164-138-160-420-559
;;19;24,76;5,55237;795;407;559-513-111-20-1-417-422-424-164-138-160-420-418-559
;;20;24,77;5,55238;795;407;559-422-513-111-20-1-417-424-164-138-160-420-418-559
;;21;24,78;13,3781;795;407;559-418-422-513-20-111-1-417-424-164-138-160-420-559
;;22;24,77;14,0258;795;407;559-422-513-1-111-20-417-424-164-138-160-420-418-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,91;0,026453;556;489;559-413-421-419-423-138-164-424-422-160-420-418-559
;;2;24,66;0,068693;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;3;24,84;0,069328;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;4;24,93;0,073815;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;5;24,97;0,328997;556;489;559-420-422-424-164-138-160-423-419-421-413-418-559
;;6;24,93;0,336561;556;489;559-413-421-419-423-138-160-164-424-422-420-418-559
;;7;24,92;0,337277;556;489;559-422-424-164-138-160-423-419-421-413-420-418-559
;;8;24,14;0,33853;556;489;559-413-421-419-423-138-160-420-164-424-422-418-559
;;9;24,63;0,379308;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;10;24,77;0,395397;556;489;559-418-413-421-419-423-160-420-138-164-424-422-559
;;11;24,28;0,408268;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
;;12;24,8;0,431938;556;489;559-418-413-421-419-423-164-138-160-420-424-422-559
;;13;24,8;1,18447;556;489;559-422-424-164-160-420-138-423-419-421-413-418-559
;;14;24,66;1,21851;556;489;559-413-421-419-423-164-138-160-420-424-422-418-559
;;15;24,88;5,20666;556;489;559-418-422-424-164-138-160-420-423-419-421-413-559
;;16;24,77;0,005726;795;407;559-422-513-1-20-111-417-424-164-138-160-420-418-559
;;17;24,76;0,007577;795;407;559-513-1-111-20-417-422-424-164-138-160-420-418-559
;;18;24,76;0,010252;795;407;559-513-20-111-1-417-422-424-164-138-160-420-418-559
;;19;24,76;0,010999;795;407;559-513-1-20-111-417-422-424-164-138-160-420-418-559
;;20;24,77;0,011931;795;407;559-418-513-1-20-111-417-422-424-164-138-160-420-559
;;21;24,77;0,01365;795;407;559-418-513-1-111-20-417-422-424-164-138-160-420-559
;;22;24,78;0,017527;795;407;559-418-422-513-1-111-20-417-424-164-138-160-420-559
;;23;24,77;0,022662;795;407;559-422-513-1-111-20-417-424-164-138-160-420-418-559
;;24;24,76;0,032342;795;407;559-513-111-20-1-417-422-424-164-138-160-420-418-559
;;25;24,77;0,033994;795;407;559-422-513-111-20-1-417-424-164-138-160-420-418-559
;;26;24,78;0,055723;795;407;559-418-422-513-111-20-1-417-424-164-138-160-420-559
;;27;24,78;0,059589;795;407;559-418-422-513-1-20-111-417-424-164-138-160-420-559
;;28;24,77;0,083008;795;407;559-418-513-111-20-1-417-422-424-164-138-160-420-559
;;29;24,77;0,094196;795;407;559-418-513-20-111-1-417-422-424-164-138-160-420-559
;;30;24,78;0,106577;795;407;559-418-422-513-20-111-1-417-424-164-138-160-420-559
;;31;24,77;0,124885;795;407;559-422-513-20-111-1-417-424-164-138-160-420-418-559

Run;3
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,93;0,168193;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;2;24,84;0,168195;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;3;24,63;0,330053;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;4;24,28;0,330054;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
;;5;24,66;0,330058;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;6;24,8;0,330061;556;489;559-422-424-164-160-420-138-423-419-421-413-418-559
;;7;24,88;0,676412;556;489;559-418-422-424-164-138-160-420-423-419-421-413-559
;;8;24,93;3,83159;556;489;559-413-421-419-423-138-160-164-424-422-420-418-559
;;9;24,77;9,3263;556;489;559-418-413-421-419-423-160-420-138-164-424-422-559
;;10;24,14;11,114;556;489;559-413-421-419-423-138-160-420-164-424-422-418-559
;;11;24,92;13,0503;556;489;559-422-424-164-138-160-423-419-421-413-420-418-559
;;12;24,77;0,168187;795;407;559-418-513-20-111-1-417-422-424-164-138-160-420-559
;;13;24,77;0,168189;795;407;559-422-513-1-20-111-417-424-164-138-160-420-418-559
;;14;24,77;0,330048;795;407;559-418-513-111-20-1-417-422-424-164-138-160-420-559
;;15;24,77;0,505482;795;407;559-418-513-1-20-111-417-422-424-164-138-160-420-559
;;16;24,77;0,676416;795;407;559-422-513-111-20-1-417-424-164-138-160-420-418-559
;;17;24,78;0,840927;795;407;559-418-422-513-1-20-111-417-424-164-138-160-420-559
;;18;24,78;0,840929;795;407;559-418-422-513-111-20-1-417-424-164-138-160-420-559
;;19;24,77;3,99338;795;407;559-418-513-1-111-20-417-422-424-164-138-160-420-559
;;20;24,78;4,6452;795;407;559-418-422-513-1-111-20-417-424-164-138-160-420-559
;;21;24,78;10,6339;795;407;559-418-422-513-20-111-1-417-424-164-138-160-420-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,93;0,010296;556;489;559-418-422-424-164-138-160-423-419-421-413-420-559
;;2;24,66;0,014387;556;489;559-418-422-424-164-160-420-138-423-419-421-413-559
;;3;24,84;0,01712;556;489;559-420-418-422-424-164-138-160-423-419-421-413-559
;;4;24,63;0,020669;556;489;559-413-421-419-423-160-420-138-164-424-422-418-559
;;5;24,77;0,022172;556;489;559-418-413-421-419-423-160-420-138-164-424-422-559
;;6;24,28;0,022902;556;489;559-418-413-421-419-423-138-160-420-164-424-422-559
