Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;130;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;158,518;158,523;11;476;12;6;7;474;
2;155,882;155,886;11;139;12;0;10;139;
3;155,051;155,056;11;380;12;1;14;374;
4;156,515;156,52;12;208;11;2;12;72;
5;155,996;156,003;9;41;4;0;9;41;
6;160,791;160,802;14;94;12;1;11;89;
7;155,946;155,962;13;212;11;0;5;212;
8;155,998;156;12;402;14;1;10;367;
9;155,317;155,322;7;360;2;0;9;360;
10;154,849;154,864;11;208;4;0;6;208;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;129,958;53,8602;1738;2131;559-418-419-423-138-160-420-424-164-377-82-98-380-385-117-102-378-132-374-388-557-494-139-103-150-153-245-249-67-147-65-460-235-2-518-403-416-422-559
;;2;129,628;138,042;1938;2095;559-418-420-138-164-424-422-417-1-20-111-416-2-518-460-65-242-249-67-245-153-494-150-139-103-388-557-374-132-378-102-117-385-380-98-82-160-559
;;3;129,717;4,73139;2343;2075;559-418-138-160-420-424-164-423-419-421-46-442-444-155-488-334-490-338-333-487-214-210-506-502-336-489-327-517-33-0-74-519-335-34-124-55-83-332-253-32-513-20-111-1-417-422-559
;;4;129,717;110,961;2343;2075;559-418-138-160-420-424-164-423-419-421-46-442-444-155-488-334-490-338-333-487-214-210-506-502-336-489-327-517-33-0-74-519-335-34-124-55-83-332-253-32-513-111-20-1-417-422-559
;;5;129,757;160,27;2444;2042;559-420-418-413-421-46-409-442-444-412-155-488-334-34-335-83-55-124-490-338-333-210-506-502-336-489-327-517-33-0-74-253-332-32-513-1-20-111-417-422-424-164-423-419-138-160-559
;;6;129,487;171,411;2652;2001;559-423-419-421-46-442-444-155-334-488-339-332-253-519-83-335-34-55-124-338-490-333-506-502-489-336-327-517-33-0-74-331-330-79-328-32-513-111-20-1-417-422-424-164-138-160-420-418-559
;;7;129,812;171,487;2670;1966;559-423-419-421-46-442-444-412-155-488-334-339-332-519-83-335-34-55-124-490-338-506-502-489-336-327-517-33-0-74-331-330-79-328-32-513-111-20-1-417-422-424-164-138-160-420-418-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;129,178;19,2058;1855;2147;559-418-421-419-423-377-82-98-380-385-117-102-378-125-132-374-388-557-150-139-103-494-153-245-65-460-235-459-244-2-518-403-23-416-110-422-424-164-138-160-420-559
;;2;128,438;19,187;1891;2100;559-418-421-419-423-377-82-98-380-385-117-102-378-125-132-374-388-557-150-139-103-494-153-245-65-460-235-459-244-2-518-403-14-416-110-422-424-164-138-160-420-559
