Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;50;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;35,3102;35,3126;35;30;1;0;36;30;
2;36,083;36,0846;14;32;1;0;15;32;
3;35,8014;35,8052;19;19;1;0;20;19;
4;35,572;35,5733;26;28;2;0;20;28;
5;36,062;36,0646;23;10;3;3;17;11;
6;36,2129;36,215;14;27;2;0;15;27;
7;35,672;35,6729;11;34;0;0;11;34;
8;36,9596;36,9614;13;35;3;0;8;35;
9;36,4969;36,5022;18;33;1;0;19;33;
10;35,1131;35,1171;16;36;2;0;15;36;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;49,705;2,49241;935;850;559-418-413-339-34-55-124-83-253-332-32-513-424-164-138-160-420-559
;;2;49,345;19,0003;957;797;559-418-413-339-34-124-55-83-335-332-253-32-513-424-164-138-160-559
;;3;49,345;20,7889;957;797;559-418-413-339-34-55-124-83-335-332-253-32-513-424-164-138-160-559
;;4;49,785;14,7904;971;789;559-418-413-339-34-55-124-335-253-332-32-513-424-164-138-160-420-559
;;5;49,902;3,19003;974;770;559-418-413-488-334-155-412-444-442-46-421-419-424-164-138-160-420-559
;;6;49,992;3,91055;974;770;559-418-160-420-424-164-138-419-421-46-442-444-412-155-334-488-413-559
;;7;49,992;4,61685;974;770;559-418-160-420-424-164-138-419-421-46-442-444-412-155-488-334-413-559
;;8;49,702;10,9446;974;770;559-418-420-424-164-138-160-419-421-46-442-444-412-155-488-334-413-559
;;9;49,902;11,9909;974;770;559-418-413-334-488-155-412-442-444-46-421-419-424-164-138-160-420-559
;;10;48,79;0,371233;1006;742;559-418-420-160-423-419-138-164-424-422-110-416-111-20-1-417-32-513-413-559
;;11;48,79;0,371237;1006;742;559-418-420-160-423-419-138-164-424-422-110-416-20-111-1-417-32-513-413-559
;;12;49,02;6,75964;1006;742;559-418-160-420-138-423-419-164-424-422-110-416-111-20-1-417-32-513-413-559
;;13;49,02;7,11473;1006;742;559-418-160-420-138-423-419-164-424-422-110-416-20-111-1-417-32-513-413-559
;;14;49,96;10,2319;1006;742;559-413-418-32-513-417-1-111-20-416-110-422-424-164-423-419-138-160-420-559
;;15;49,96;14,7904;1006;742;559-413-418-32-513-417-1-20-111-416-110-422-424-164-423-419-138-160-420-559
;;16;49,94;15,4873;1006;742;559-413-418-422-32-513-1-20-111-416-110-417-424-164-419-423-138-160-420-559
;;17;48,73;18,3046;1006;742;559-418-420-138-160-423-419-164-424-422-110-416-111-20-1-417-32-513-413-559
;;18;49,92;0,371228;1126;731;559-418-413-155-412-339-329-32-513-1-20-111-417-422-424-164-138-160-420-559
;;19;49,55;0,727925;1138;723;559-418-413-155-334-488-339-329-32-513-111-20-1-422-424-164-138-160-420-559
