Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;75;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;64,3183;64,3265;16;38;4;0;10;38;
2;65,0914;65,0915;8;87;5;1;10;85;
3;65,1498;65,1521;12;72;6;0;9;72;
4;65,5306;65,5342;9;46;5;3;10;45;
5;65,1554;65,1584;17;104;2;0;14;104;
6;65,32;65,3264;11;67;2;3;12;59;
7;65,0862;65,0899;10;101;2;0;8;101;
8;66,0345;66,037;9;253;4;0;9;253;
9;65,4913;65,4925;13;59;5;0;10;59;
10;66,7083;66,7167;10;92;7;0;10;92;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;74,767;6,47738;1632;1284;559-418-420-424-164-138-160-419-46-442-444-412-155-488-334-34-55-124-83-335-332-253-32-513-20-111-1-417-422-559
;;2;74,707;57,9455;1632;1284;559-418-419-46-442-444-412-155-488-334-34-55-124-83-335-332-253-32-513-20-111-1-417-422-424-164-138-160-420-559
;;3;74,767;17,2924;1637;1254;559-418-419-421-46-442-444-155-488-334-34-124-55-83-335-519-332-253-32-513-1-20-111-417-422-424-164-138-160-420-559
;;4;74,767;23,8145;1637;1254;559-418-419-421-46-442-444-155-488-334-34-55-124-83-335-519-332-253-32-513-1-20-111-417-422-424-164-138-160-420-559
;;5;73,847;30,9292;1646;1197;559-418-46-442-444-155-488-334-34-124-55-83-335-253-332-339-329-32-513-1-20-111-417-422-424-164-138-160-420-559
;;6;74,815;8,42131;1682;1188;559-420-418-413-339-332-253-335-34-55-124-83-517-33-0-74-331-330-79-328-32-513-1-20-111-424-164-138-160-559
;;7;74,757;64,3407;1460;1290;559-418-160-420-424-164-423-419-46-442-444-412-155-488-334-34-55-124-83-335-332-253-32-513-1-20-111-422-559
;;8;74,1;69,7793;1796;1175;559-418-160-420-164-424-422-417-1-111-20-513-32-328-79-330-331-33-0-74-517-519-335-83-124-55-34-334-488-413-559
;;9;73,28;69,7981;1858;1135;559-418-160-420-138-164-424-422-417-1-111-20-513-32-328-79-330-331-33-0-74-519-335-83-55-124-34-334-488-413-559
;;10;73,76;69,8425;1836;1171;559-418-160-420-138-164-424-422-417-1-111-20-513-32-328-79-330-331-33-0-74-517-335-83-55-124-34-334-488-413-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;74,277;9,44752;1487;1304;559-418-420-164-424-422-513-32-253-332-33-0-74-335-83-55-124-34-334-488-155-444-442-46-421-419-138-160-559
;;2;74,777;9,48936;1487;1304;559-418-420-138-164-424-422-513-32-253-332-33-0-74-335-83-55-124-34-334-488-155-444-442-46-421-419-160-559
