Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;70;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;59,3669;59,3715;9;103;4;3;10;105;
2;59,9462;59,9494;9;50;3;0;11;50;
3;59,7958;59,7966;11;153;3;0;13;153;
4;59,5072;59,508;14;151;2;0;11;151;
5;59,9362;59,9406;8;48;2;1;9;41;
6;60,4146;60,4174;14;99;6;1;11;69;
7;60,0776;60,0778;12;48;2;1;11;44;
8;60,493;60,4936;9;26;7;0;10;26;
9;60,467;60,4704;11;163;2;0;11;163;
10;60,7323;60,7336;11;91;2;0;9;91;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;69,507;3,48941;1377;1224;559-418-420-424-164-138-160-419-46-442-444-412-155-488-334-34-55-124-83-335-332-253-32-513-422-559
;;2;69,877;3,48941;1377;1224;559-418-422-513-32-253-332-335-83-124-55-34-334-488-155-412-444-442-46-419-420-424-164-138-160-559
;;3;69,277;6,53023;1382;1194;559-418-164-424-422-513-32-253-332-519-335-83-124-55-34-334-488-155-444-442-46-421-419-138-160-420-559
;;4;69,267;21,37;1382;1194;559-164-424-422-513-32-253-332-519-335-83-124-55-34-334-488-155-442-444-46-421-419-138-160-420-418-559
;;5;69,955;35,0524;1444;1186;559-420-424-164-138-160-423-419-421-46-155-488-334-34-55-124-83-335-332-253-32-513-1-20-111-417-422-418-559
;;6;69,867;17,1538;1514;1185;559-418-420-424-164-138-160-419-46-442-444-155-488-334-34-55-124-83-335-332-253-32-513-1-20-111-417-559
;;7;69,757;15,423;1560;1177;559-418-46-442-444-412-155-488-334-34-55-124-83-335-332-253-32-513-20-111-1-417-424-164-138-160-420-559
;;8;69,967;59,7096;1407;1187;559-419-421-46-442-444-155-488-334-34-55-124-83-335-332-253-32-513-417-422-424-164-138-160-420-418-559
;;9;69,125;64,3079;1664;1112;559-418-422-328-79-330-331-33-0-74-519-335-34-55-124-83-332-253-32-513-1-111-20-417-424-164-138-160-420-559
;;10;69,585;66,8011;1642;1148;559-328-79-330-331-33-0-74-517-335-34-55-124-83-332-253-32-513-111-20-1-417-422-424-164-138-160-420-418-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;68,517;0,809149;1329;1200;559-418-164-424-422-513-32-253-332-335-83-55-124-34-334-488-155-444-442-46-421-419-423-138-160-420-559
;;2;69,885;0,850855;1444;1186;559-423-419-421-46-155-488-334-34-124-55-83-335-332-253-32-513-111-20-1-417-422-424-164-138-160-420-418-559
;;3;69,885;0,870176;1444;1186;559-423-419-421-46-155-488-334-34-124-55-83-335-332-253-32-513-1-20-111-417-422-424-164-138-160-420-418-559
;;4;69,885;1,61237;1444;1186;559-423-419-421-46-155-488-334-34-55-124-83-335-332-253-32-513-1-111-20-417-422-424-164-138-160-420-418-559
;;5;69,885;1,68526;1444;1186;559-423-419-421-46-155-488-334-34-55-124-83-335-332-253-32-513-1-20-111-417-422-424-164-138-160-420-418-559
;;6;69,885;1,68883;1444;1186;559-423-419-421-46-155-488-334-34-55-124-83-335-332-253-32-513-111-20-1-417-422-424-164-138-160-420-418-559
;;7;69,975;0,946972;1510;1168;559-418-413-155-488-334-34-55-124-83-335-519-332-253-329-32-513-20-111-1-417-422-424-164-419-138-160-420-559
;;8;69,975;1,06359;1510;1168;559-418-413-155-488-334-34-55-124-83-335-519-332-253-329-32-513-1-20-111-417-422-424-164-419-138-160-420-559
;;9;69,705;1,8018;1642;1148;559-513-32-328-79-330-331-33-0-74-517-335-34-55-124-83-332-253-111-20-1-417-422-424-164-138-160-420-418-559
;;10;69,455;2,01772;1642;1148;559-422-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-513-1-20-111-417-424-164-138-160-420-418-559
;;11;69,455;2,04128;1642;1148;559-422-32-328-79-330-331-33-0-74-517-335-34-55-124-83-253-332-513-1-20-111-417-424-164-138-160-420-418-559
;;12;69,715;2,06136;1642;1148;559-422-513-32-328-79-330-331-33-0-74-517-335-34-55-124-83-332-253-111-20-1-417-424-164-138-160-420-418-559
;;13;69,715;2,41014;1642;1148;559-422-513-32-328-79-330-331-33-0-74-517-335-34-55-124-83-332-253-20-111-1-417-424-164-138-160-420-418-559
;;14;69,715;2,60999;1642;1148;559-422-513-32-328-79-330-331-33-0-74-517-335-34-124-55-83-332-253-20-111-1-417-424-164-138-160-420-418-559
;;15;69,455;2,84869;1642;1148;559-422-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-513-20-111-1-417-424-164-138-160-420-418-559
;;16;69,465;2,87183;1642;1148;559-418-422-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-513-20-111-1-417-424-164-138-160-420-559
;;17;69,465;3,07613;1642;1148;559-418-422-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-513-1-20-111-417-424-164-138-160-420-559
;;18;69,465;3,61816;1642;1148;559-418-422-32-328-79-330-331-33-0-74-517-335-34-55-124-83-253-332-513-1-20-111-417-424-164-138-160-420-559
;;19;69,725;3,83999;1642;1148;559-418-422-513-32-328-79-330-331-33-0-74-517-335-34-55-124-83-253-332-111-20-1-417-424-164-138-160-420-559
;;20;69,465;3,89269;1642;1148;559-418-422-32-328-79-330-331-33-0-74-517-335-34-55-124-83-253-332-513-111-20-1-417-424-164-138-160-420-559
;;21;69,465;4,08221;1642;1148;559-418-422-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-513-111-20-1-417-424-164-138-160-420-559
;;22;69,725;4,25694;1642;1148;559-418-422-513-32-328-79-330-331-33-0-74-517-335-34-124-55-83-253-332-111-20-1-417-424-164-138-160-420-559
;;23;69,725;4,81333;1642;1148;559-418-422-513-32-328-79-330-331-33-0-74-517-335-34-124-55-83-332-253-111-20-1-417-424-164-138-160-420-559
;;24;69,725;4,83836;1642;1148;559-418-422-513-32-328-79-330-331-33-0-74-517-335-34-124-55-83-332-253-20-111-1-417-424-164-138-160-420-559
