Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;40;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;26,0232;26,0236;10;85;0;0;10;85;
2;26,1976;26,1983;13;69;0;0;13;69;
3;26,0173;26,0191;13;51;0;0;13;51;
4;26,3791;26,3812;8;75;0;0;8;75;
5;26,4876;26,4891;25;85;0;0;25;85;
6;27,1506;27,1512;8;48;0;0;8;48;
7;26,2601;26,2604;26;92;0;0;26;92;
8;26,1527;26,1537;12;68;0;0;12;68;
9;26,8439;26,8456;25;78;0;0;25;78;
10;26,8557;26,8578;26;29;0;0;26;29;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;39,92;11,4272;849;668;559-418-32-513-1-111-20-416-110-422-424-164-419-138-160-420-559
;;2;39,93;2,59339;881;630;559-413-418-422-110-416-20-111-1-417-424-164-419-138-160-420-559
;;3;39,93;6,01048;881;630;559-413-418-422-110-416-111-20-1-417-424-164-419-138-160-420-559
;;4;39,93;9,36739;881;630;559-418-422-110-416-111-20-1-417-424-164-419-138-160-420-413-559
;;5;39,92;23,6723;934;627;559-418-421-419-138-160-420-164-424-422-417-1-20-111-32-513-413-559
;;6;39,97;0,763893;997;581;559-418-413-339-329-32-513-1-20-111-417-422-424-164-138-160-420-559
;;7;39,97;1,29532;997;581;559-418-413-339-329-32-513-1-111-20-417-422-424-164-138-160-420-559
;;8;39,97;6,26838;997;581;559-418-413-339-329-32-513-111-20-1-417-422-424-164-138-160-420-559
;;9;39,97;9,3674;997;581;559-418-413-339-329-32-513-20-111-1-417-422-424-164-138-160-420-559
;;10;39,82;12,4556;997;581;559-413-339-329-32-513-1-20-111-417-422-424-164-138-160-420-418-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;39,842;0,844261;741;652;559-413-155-442-444-46-419-423-164-424-138-160-420-418-559
;;2;39,842;0,850012;741;652;559-413-155-444-442-46-419-423-424-164-138-160-420-418-559
;;3;39,852;0,856556;741;652;559-420-424-164-138-160-423-419-46-442-444-155-413-418-559
;;4;39,992;0,886692;741;652;559-418-413-155-442-444-46-419-423-164-424-138-160-420-559
;;5;39,852;0,8876;741;652;559-418-420-424-164-138-160-423-419-46-442-444-155-413-559
;;6;39,992;5,22205;741;652;559-418-413-155-444-442-46-419-423-424-164-138-160-420-559
;;7;39,992;5,22406;741;652;559-418-413-155-442-444-46-419-423-424-164-138-160-420-559
;;8;39,992;5,94301;741;652;559-418-413-155-444-442-46-419-423-164-424-138-160-420-559
;;9;39,842;5,97897;741;652;559-413-155-442-444-46-419-423-424-164-138-160-420-418-559
;;10;39,76;11,5187;803;634;559-420-160-419-164-424-422-110-416-20-111-1-513-413-418-559
;;11;39,93;8,67667;881;630;559-413-418-422-110-416-20-111-1-417-424-164-419-138-160-420-559
;;12;39,93;8,69915;881;630;559-413-418-422-110-416-111-20-1-417-424-164-419-138-160-420-559
;;13;39,92;10,9032;881;630;559-413-422-110-416-20-111-1-417-424-164-419-138-160-420-418-559
;;14;39,92;10,9055;881;630;559-413-422-110-416-111-20-1-417-424-164-419-138-160-420-418-559
;;15;39,93;11,1249;881;630;559-418-422-110-416-111-20-1-417-424-164-419-138-160-420-413-559
;;16;39,93;11,172;881;630;559-418-422-110-416-20-111-1-417-424-164-419-138-160-420-413-559
;;17;39,29;0,089954;920;625;559-418-420-160-423-419-138-164-424-422-417-1-20-111-32-513-413-559
;;18;39,29;0,09113;920;625;559-418-420-160-419-423-138-164-424-422-417-1-20-111-32-513-413-559
;;19;39,29;0,101356;920;625;559-418-420-160-419-423-138-164-424-422-417-1-111-20-32-513-413-559
;;20;39,29;0,111285;920;625;559-418-420-160-423-419-138-164-424-422-417-1-111-20-32-513-413-559
