Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;25;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;512,964;512,965;13;78;27;9;13;40;
2;535,309;535,338;10;85;24;4;13;78;
3;540,362;540,387;20;56;17;18;9;31;
4;555,506;555,54;8;81;28;1;18;81;
5;544,059;544,064;12;116;7;13;6;30;
6;543,624;543,63;9;48;23;9;9;50;
7;527,014;527,074;10;102;21;0;16;102;
8;543,07;543,14;9;120;19;4;10;106;
9;533,781;533,829;8;107;13;4;13;108;
10;504,284;504,293;5;41;6;4;4;39;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;25;83,2327;1518;1663;0-944-627-862-1303-895-1074-780-1375-1522-1889-1799-1352-1784-1376-1910-2004-2008-1676-2123-1950-1822-1971-1550-2128-1643-127-529-640-868-1360-0
;;2;24,76;272,233;1529;1661;0-944-862-1303-895-1074-780-1375-1522-1889-1799-1352-1784-1376-1676-2123-1950-2008-1962-2004-1822-1971-1550-1643-127-529-640-1360-868-635-627-0
;;3;24,75;179,668;1755;1585;0-944-862-1303-895-1074-780-1522-1889-1799-1352-1784-1376-1950-1595-1676-1910-1962-2004-2008-2123-1822-1529-1967-1971-1550-2128-1997-127-529-640-635-0
;;4;24,88;515,675;1777;1506;0-944-862-1303-1074-780-1522-1889-1799-1352-1784-1376-1950-1595-1676-1910-1962-2004-2008-2123-1822-1529-1967-1971-1550-2128-1997-127-529-640-1360-635-0
;;5;24,74;516,067;1768;1583;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2008-2004-1950-2123-1676-1962-1910-1822-1967-1529-1971-1550-2128-1997-127-529-450-640-635-0
;;6;24,93;516,631;1734;1597;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1784-1376-2004-1910-1950-2123-1676-2008-1595-1962-1822-1971-1550-2128-1997-127-529-640-1360-635-627-0
;;7;24,89;521,282;1807;1403;0-1303-862-868-1360-640-651-450-529-127-1997-2128-1550-1971-1967-1529-1822-1962-1950-2123-1676-1910-1595-2004-2008-1784-1352-1376-1889-1799-1522-635-0
;;8;24,99;521,462;1799;1492;0-944-862-1303-1360-640-651-450-529-127-1997-2128-1550-1971-1967-1529-1822-1962-1950-2123-1676-1910-2008-2004-1784-1376-1352-1799-1889-1522-780-635-0
;;9;24,94;523,701;1648;1640;0-944-862-1303-895-1074-780-1375-1522-1799-1784-1352-1376-1962-2004-1676-2123-1950-1910-1595-2008-1822-1971-1550-2128-1997-127-529-640-868-635-627-0
;;10;24,74;524,661;1739;1591;0-944-862-1303-895-1074-780-1375-1522-1799-1889-1352-1376-1784-2004-2008-1676-2123-1950-1910-1595-1962-1822-1529-1971-1550-2128-1997-127-529-640-635-0
;;11;24,89;525,014;1722;1610;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-2008-1676-2123-1950-1910-1595-1962-1822-1529-1971-1550-2128-1997-127-529-640-868-635-0
;;12;24,95;525,069;1692;1626;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-2008-1676-2123-1950-1910-1595-1962-1822-1971-1550-2128-1997-127-529-640-868-635-627-0
;;13;24,89;525,958;1729;1605;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-2008-1676-2123-1950-1910-1595-1962-1822-1971-1550-2128-1997-127-529-640-1360-868-635-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,87;311,298;1578;1653;0-944-862-1303-419-895-1074-780-1522-1799-1352-1784-2004-2123-2008-1962-1950-1676-1822-1971-1550-1997-2128-127-529-640-1360-868-635-627-0
;;2;24,94;95,4073;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1352-1376-1784-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;3;24,94;97,8826;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1352-1376-1784-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;4;24,94;100,154;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1352-1784-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;5;24,94;104,212;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1784-1352-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;6;24,94;141,707;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1352-1784-2004-2008-2123-1950-1962-1910-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;7;24,94;144,701;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1784-1352-2004-2008-2123-1950-1962-1910-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;8;24,94;156,073;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1352-1784-2004-1910-2008-2123-1950-1962-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;9;24,94;181,466;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1784-1352-1962-2008-1910-2004-1950-1676-2123-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;10;24,94;188,792;1656;1646;0-944-862-1303-895-1074-780-1375-1522-1799-1376-1352-1784-1962-1910-2008-2123-2004-1950-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;11;24,94;163,336;1675;1642;0-944-862-1303-895-1074-780-1375-1522-1889-1799-1376-1352-1784-2004-1910-2008-2123-1950-1962-1676-1822-1971-1550-2128-1997-127-529-640-868-635-627-0
;;12;24,94;170,692;1679;1638;0-944-862-1303-895-1074-780-1375-1522-1889-1799-1352-1784-1376-2008-1962-2004-1950-1676-2123-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;13;24,94;178,196;1679;1638;0-944-862-1303-895-1074-780-1375-1522-1889-1799-1784-1352-1376-2008-1962-2004-1950-1676-2123-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;14;24,95;90,8729;1700;1632;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;15;24,95;98,3186;1700;1632;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;16;24,95;104,931;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1784-1352-2004-1910-2008-1962-1950-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;17;24,95;107,64;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1784-1352-1962-1950-2004-1910-2008-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;18;24,95;138,293;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2004-2008-2123-1950-1962-1910-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;19;24,95;145,441;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1784-1352-2004-2008-2123-1950-1962-1910-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;20;24,95;151,406;1700;1632;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-2004-1910-2008-2123-1950-1962-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;21;24,95;162,887;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2004-1910-2008-2123-1950-1962-1676-1822-1971-1550-2128-1997-127-529-640-868-1360-635-627-0
;;22;24,95;170,529;1700;1632;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2004-1910-2008-2123-1950-1962-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;23;24,95;180,543;1700;1632;0-944-862-1303-895-1074-780-1522-1799-1889-1784-1376-1352-1962-2008-1910-2004-1950-1676-2123-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;24;24,95;181,679;1700;1632;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-1962-1910-2008-2123-2004-1950-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-627-0
;;25;24,94;78,8087;1702;1625;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2004-1676-1962-2008-2123-1950-1529-1822-1971-1550-2128-1997-127-529-450-640-868-635-627-0
;;26;24,88;125,33;1712;1621;0-944-862-1303-895-1074-780-1375-1522-1889-1799-1784-1352-1376-2004-1950-1962-1910-2008-2123-1676-1822-1971-1550-2128-1997-127-529-640-1360-868-635-0
;;27;24,92;83,7707;1744;1596;0-944-862-1303-895-1074-780-1522-1889-1799-1376-1352-1784-2004-2008-1962-1950-2123-1676-1529-1822-1971-1550-2128-1997-127-529-450-640-1360-635-627-0
;;28;24,92;83,0663;1747;1595;0-944-862-1303-895-1074-780-1522-1799-1889-1352-1376-1784-1962-1910-1676-2004-2008-2123-1950-1822-1971-1550-2128-1997-127-529-450-640-1360-635-627-0
