Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;10;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;197,908;197,916;29;35;3;0;32;35;
2;197,432;197,442;32;39;5;0;34;39;
3;197,416;197,418;36;41;4;4;37;40;
4;198,741;198,742;32;25;0;3;32;27;
5;197,386;197,397;30;41;6;2;30;43;
6;198,547;198,56;33;42;2;0;35;42;
7;197,04;197,058;35;41;0;4;35;41;
8;199,624;199,639;33;31;2;0;34;31;
9;203,353;203,366;32;50;1;3;33;20;
10;216,799;216,805;35;38;5;2;36;39;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;9,29;2,01723;409;703;0-944-627-862-1303-419-895-1074-780-640-1360-868-635-0
;;2;9,57;2,01723;409;703;0-944-640-1360-868-627-862-1303-419-895-1074-780-635-0
;;3;8,96;2,01724;409;703;0-944-862-1303-419-895-1074-780-640-868-1360-635-627-0
;;4;8,96;2,01725;409;703;0-944-862-1303-419-895-1074-780-635-640-1360-868-627-0
;;5;8,96;2,01725;409;703;0-944-862-1303-419-895-1074-780-635-640-868-1360-627-0
;;6;9,64;3,98943;409;703;0-944-640-1360-868-862-1303-419-895-1074-780-635-627-0
;;7;8,96;3,98944;409;703;0-944-862-1303-419-895-1074-780-640-1360-868-635-627-0
;;8;9,39;7,96727;409;703;0-862-1303-419-895-1074-780-640-1360-868-635-944-627-0
;;9;9,29;15,8437;409;703;0-944-627-862-1303-419-895-1074-780-635-640-868-1360-0
;;10;9,86;59,3105;409;703;0-944-862-895-635-640-1360-868-780-1074-419-1303-627-0
;;11;9,84;77,249;409;703;0-944-862-1303-627-635-640-1360-868-1074-419-895-780-0
;;12;9,29;118,63;409;703;0-944-627-862-1303-419-895-1074-780-640-868-1360-635-0
;;13;9,72;53,3365;444;683;0-944-862-1303-895-1074-780-529-127-640-635-627-0
;;14;9,71;2,01725;475;672;0-944-862-1303-895-1074-780-651-529-127-450-640-0
;;15;9,72;31,5624;475;672;0-944-862-1303-895-1074-780-651-450-529-127-640-0
;;16;9,57;3,98944;476;660;0-944-862-1303-895-1074-780-651-1093-640-868-635-627-0
;;17;9,9;19,7904;476;660;0-944-627-862-1303-895-1074-780-651-1093-640-868-635-0
;;18;9,83;140,355;497;659;0-944-862-1303-895-1074-780-628-1093-640-868-635-627-0
;;19;9,79;2,01724;513;639;0-944-862-1303-895-1074-780-635-1360-868-651-1093-640-0
;;20;9,51;2,01725;513;639;0-944-862-1303-895-1074-780-651-1093-640-1360-868-635-0
;;21;9,85;3,98943;513;639;0-944-862-1303-895-1074-780-635-868-1360-640-651-1093-0
;;22;9,51;9,95786;513;639;0-944-862-1303-895-1074-780-651-1093-640-868-1360-635-0
;;23;9,76;93,0465;513;639;0-944-862-1303-895-1074-780-635-651-1093-640-868-1360-0
;;24;9,77;9,95785;534;638;0-944-862-1303-895-1074-780-628-1093-640-868-1360-635-0
;;25;9,77;27,6198;534;638;0-944-862-1303-895-1074-780-628-1093-640-1360-868-635-0
;;26;9,85;5,9879;556;543;0-944-862-1303-635-640-1360-1074-780-651-1093-628-0
;;27;9,99;67,196;564;542;0-944-862-1303-627-640-450-529-127-628-1093-635-0
;;28;9,93;51,3634;570;522;0-1303-862-635-780-651-1093-628-127-529-640-0
;;29;9,86;112,738;596;468;0-1303-862-651-1093-628-127-529-450-640-635-0
;;30;9,81;200,44;539;630;0-944-862-1303-895-1074-780-628-1093-640-1360-635-627-0
;;31;9,88;212,873;612;413;0-862-1303-651-1093-628-127-450-640-1360-635-0
;;32;9,95;213,637;581;504;0-862-1303-895-1074-640-450-127-628-1093-635-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;8,96;0,847163;409;703;0-944-862-1303-419-895-1074-780-640-868-1360-635-627-0
;;2;9,88;0,969248;409;703;0-944-1303-895-1074-780-635-640-1360-868-419-862-627-0
;;3;9,29;1,0537;409;703;0-944-627-862-1303-419-895-1074-780-635-640-868-1360-0
;;4;8,96;1,17207;409;703;0-944-862-1303-419-895-1074-780-640-1360-868-635-627-0
;;5;8,96;1,19175;409;703;0-944-862-1303-419-895-1074-780-635-640-868-1360-627-0
;;6;9,29;1,61127;409;703;0-944-627-862-1303-419-895-1074-780-640-1360-868-635-0
;;7;9,98;1,84625;409;703;0-944-419-895-1074-1303-862-627-640-1360-868-780-635-0
;;8;8,96;12,3529;409;703;0-944-862-1303-419-895-1074-780-635-640-1360-868-627-0
;;9;9,77;12,6457;409;703;0-944-862-895-1074-419-1303-627-640-1360-868-780-635-0
;;10;9,98;13,3548;409;703;0-944-862-419-895-1074-1303-627-640-1360-868-780-635-0
;;11;9,71;13,6998;409;703;0-944-862-1303-627-640-1360-868-780-1074-419-895-635-0
;;12;9,85;15,8213;409;703;0-944-862-895-419-1303-627-640-1360-868-780-1074-635-0
;;13;9,76;16,8167;409;703;0-944-1303-895-780-1074-419-862-627-640-868-1360-635-0
;;14;9,29;18,8194;409;703;0-944-627-862-1303-419-895-1074-780-640-868-1360-635-0
;;15;9,76;19,231;409;703;0-944-895-780-1074-419-1303-862-627-640-868-1360-635-0
;;16;9,68;19,7652;409;703;0-944-627-640-868-1360-635-862-1303-419-895-1074-780-0
;;17;9,94;19,8016;409;703;0-944-862-895-419-1303-627-635-780-1074-640-868-1360-0
;;18;9,75;19,8206;409;703;0-944-862-895-780-1074-419-1303-627-640-868-1360-635-0
;;19;9,48;34,6892;409;703;0-944-1303-419-895-1074-780-640-1360-868-635-627-862-0
;;20;9,86;35,8126;409;703;0-944-862-895-635-640-1360-868-780-1074-419-1303-627-0
;;21;9,64;41,3997;409;703;0-944-640-1360-868-862-1303-419-895-1074-780-635-627-0
;;22;9,87;48,0219;409;703;0-944-862-895-1074-419-1303-627-635-780-640-868-1360-0
;;23;9,85;117,267;409;703;0-944-895-1074-419-1303-862-640-1360-868-780-635-627-0
;;24;9,84;117,523;409;703;0-944-862-895-1074-419-1303-640-1360-868-780-635-627-0
;;25;9,6;122,248;409;703;0-944-419-895-1074-780-635-640-1360-868-1303-862-627-0
;;26;9,94;122,647;409;703;0-944-895-640-1360-868-635-780-1074-419-1303-862-627-0
;;27;9,87;124,418;409;703;0-944-895-635-640-1360-868-780-1074-419-1303-862-627-0
;;28;9,76;126,687;409;703;0-944-895-780-1074-419-1303-862-627-640-1360-868-635-0
;;29;9,48;126,88;409;703;0-944-1303-419-895-1074-780-635-640-868-1360-862-627-0
;;30;9,8;127,012;482;692;0-944-862-1303-895-1074-780-651-529-127-640-635-0
;;31;9,83;33,6039;497;659;0-944-862-1303-895-1074-780-628-1093-640-868-635-627-0
;;32;9,51;107,387;513;639;0-944-862-1303-895-1074-780-651-1093-640-868-1360-635-0
;;33;9,77;107,42;534;638;0-944-862-1303-895-1074-780-628-1093-640-868-1360-635-0
;;34;9,81;106,18;539;630;0-944-862-1303-895-1074-780-628-1093-640-1360-635-627-0
;;35;9,75;107,814;571;556;0-862-1303-895-1074-780-640-1360-651-1093-628-635-0

Run;2
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;9,29;1,9737;409;703;0-944-627-862-1303-419-895-1074-780-640-1360-868-635-0
;;2;9,57;1,97371;409;703;0-944-640-1360-868-627-862-1303-419-895-1074-780-635-0
;;3;8,96;1,97371;409;703;0-944-862-1303-419-895-1074-780-640-1360-868-635-627-0
;;4;8,96;1,97371;409;703;0-944-862-1303-419-895-1074-780-635-640-1360-868-627-0
;;5;8,96;1,97372;409;703;0-944-862-1303-419-895-1074-780-635-640-868-1360-627-0
;;6;8,96;1,97372;409;703;0-944-862-1303-419-895-1074-780-640-868-1360-635-627-0
;;7;9,29;1,97373;409;703;0-944-627-862-1303-419-895-1074-780-635-640-868-1360-0
