Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;35;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;841,187;841,193;7;17;31;15;13;21;
2;837,394;837,459;7;155;14;11;13;111;
3;866,343;866,41;9;14;38;10;14;11;
4;839,117;839,175;7;39;3;17;6;21;
5;916,774;916,844;10;16;46;13;12;8;
6;993,359;993,42;6;70;29;10;10;11;
7;1.030,18;1.030,2;8;21;30;16;11;11;
8;971,555;971,622;10;20;32;7;9;12;
9;965,206;965,312;7;11;22;4;12;8;
10;1.018,42;1.018,43;6;8;79;5;30;6;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;34,72;682,504;2283;2133;0-862-1303-1948-2038-1688-1730-2026-2076-1961-2022-1817-1613-2018-1403-2084-1519-2079-419-895-1074-1799-1784-1376-2008-2123-1676-1910-1962-1950-1822-1997-2128-1550-1971-2004-1352-640-635-627-0
;;2;34,96;606,537;2299;1903;0-1303-419-1948-2038-1688-1730-2076-1961-2022-1817-1613-2018-1403-2084-1519-2079-862-627-635-1971-1550-2128-1997-2008-1476-1595-1676-1910-1950-1962-2004-2123-1784-1352-1376-1889-1799-1514-1522-1375-0
;;3;34,847;864,703;2106;2454;0-944-862-419-1948-1821-1021-540-755-1364-273-1968-2009-2088-2011-1708-1367-1358-2089-1746-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-895-640-0
;;4;34,987;870,103;2247;2358;0-944-862-419-1948-1821-1513-1998-2086-1581-1894-1422-2089-1358-1367-1378-1021-540-755-1364-2009-2088-2011-273-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-640-635-0
;;5;34,997;871,431;2233;2388;0-944-862-419-1948-1821-2029-1021-540-755-1708-1364-2011-2088-2009-1968-273-1358-1378-1367-1422-2089-1746-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-0
;;6;34,997;871,498;2228;2392;0-944-862-419-1948-1821-1021-540-755-1364-1708-2011-2088-1968-2009-273-1498-1378-1367-1358-2089-1422-1746-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-0
;;7;34,997;872,448;2280;2319;0-944-862-419-1948-1821-1513-2086-1581-1894-1422-2089-1358-1367-1378-1498-1021-540-755-1364-1968-2088-2011-273-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-640-635-0
;;8;34,997;872,562;2254;2350;0-944-862-419-1948-1821-2029-1021-540-755-1364-2011-2088-1968-2009-273-1358-1498-1378-1367-1422-2089-1746-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-0
;;9;34,987;885,102;2220;2405;0-944-862-419-1948-1821-1021-540-755-1364-2009-2088-2011-273-1708-1378-1367-1358-2089-1422-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-640-635-0
;;10;34,987;886,009;2188;2423;0-944-862-419-1948-1821-1513-2086-1581-1894-1746-2089-1358-1367-1378-1021-755-540-1708-1364-2009-2088-2011-273-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-640-635-0
;;11;34,997;886,092;2245;2364;0-944-862-419-1948-1821-2029-1021-755-540-1708-1364-1968-2009-2088-2011-273-1498-1367-1358-2089-1422-1746-1894-1581-2086-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-0
;;12;34,997;889,312;2258;2324;0-944-862-419-1948-1821-2029-1021-540-755-1708-1364-1968-2009-2088-2011-273-1498-1367-1358-2089-1422-1894-1581-2086-1998-1513-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-0
;;13;34,987;904,945;2169;2443;0-944-862-419-1948-1821-1513-2086-1581-1894-1746-1422-2089-1378-1367-1021-755-540-1708-1364-2009-2088-2011-273-1669-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-1303-640-635-0

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;34,637;168,679;2068;2524;0-944-862-1303-1948-1513-2086-1581-1894-1746-1422-2089-1358-1367-1364-1708-1968-2009-2088-2011-755-540-1021-1821-1669-1688-1730-2076-1961-2022-1613-1817-1403-2084-419-895-1074-780-640-0
;;2;34,947;173,149;2167;2482;0-944-862-1303-1948-1821-2083-1726-2086-1894-1581-1422-2089-1358-1367-1021-273-1364-1708-2011-2009-1968-2088-540-755-1669-1688-2076-1961-2022-1817-1613-2018-1403-2084-419-895-1074-640-0
;;3;34,947;173,325;2189;2451;0-944-862-1303-1948-1513-2083-1726-2086-1894-1581-1422-2089-1358-1367-1021-273-1364-1708-2011-2009-1968-2088-540-755-1669-1688-2076-1961-2022-1817-1613-2018-1403-2084-419-895-1074-640-0
;;4;34,957;172,617;2221;2427;0-944-862-1303-1948-1821-755-540-2088-1968-2009-2011-1364-273-1021-1498-1367-1358-2089-1422-1581-1894-2083-1726-1513-1669-1688-2076-1961-2022-1817-1613-2018-1403-2084-419-895-1074-640-0
;;5;34,937;252,228;2235;2405;0-944-862-1303-1948-1513-2083-1726-2086-1894-1581-1422-2089-1367-1358-1498-273-1968-2009-2088-2011-1364-755-540-1021-1821-1669-1688-2076-1961-1817-1613-2018-1403-2084-419-895-1074-640-0
;;6;34,827;265,636;2269;2337;0-944-862-1303-1948-1821-1021-540-755-1364-1968-2088-273-1498-1358-1367-1378-2089-1422-1746-1581-1894-2086-2083-1726-1513-1669-1688-2076-1961-1817-1613-2018-1403-2084-419-895-1074-640-0
