Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p2143.txt;20;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;538,723;538,771;19;34;19;3;20;35;
2;533,43;533,434;11;63;5;2;11;58;
3;517,907;517,967;28;55;26;7;23;44;
4;448,905;448,942;23;20;15;12;15;19;
5;480,248;480,27;19;58;18;7;19;53;
6;439,269;439,32;21;62;11;5;14;55;
7;437,241;437,245;16;108;12;1;16;109;
8;438,499;438,554;18;25;12;3;16;22;
9;445,666;445,682;11;46;10;4;9;48;
10;427,371;427,387;20;49;21;0;21;49;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;19,99;129,484;1091;1436;0-944-862-1303-1948-1688-1730-2076-2022-1613-1817-2018-1403-2084-1519-2079-419-895-1074-780-635-640-868-1360-627-0
;;2;19,99;241,527;1091;1436;0-944-862-1303-1948-1688-1730-2076-2022-1817-1613-2018-1403-2084-1519-2079-419-895-1074-780-640-1360-868-635-627-0
;;3;19,97;209,806;1103;1433;0-944-862-1303-1948-2038-1688-1730-2076-2026-2022-1613-1817-2018-1403-2084-1519-2079-419-895-1074-780-640-635-627-0
;;4;19,99;397,063;1175;1430;0-944-862-1303-1948-2038-1688-1730-2076-1961-2022-1613-1817-2018-1403-2084-1519-2079-419-895-1074-780-640-635-627-0
;;5;19,69;150,965;1176;1327;0-944-862-1303-1948-1688-1730-2038-1961-2076-2026-2022-1817-1613-2018-1403-2084-1519-2079-895-1074-780-640-635-0
;;6;19,98;177,696;1182;1318;0-944-862-1303-1948-2038-1961-2076-1688-2026-2084-1400-2022-1817-1613-2018-1403-1519-2079-419-895-1074-640-635-0
;;7;19,9;375,253;1291;1296;0-944-862-895-1074-780-1784-1352-1376-2004-2008-1950-1676-1962-1822-2128-1550-1971-2123-1799-1522-640-635-0
;;8;19,72;118,646;1395;1204;0-944-862-1303-640-1784-2004-1950-2008-2123-1822-1997-2128-1550-1971-1962-1676-1376-1352-1799-1522-780-635-0
;;9;19,73;204,293;1395;1204;0-944-862-1303-640-1522-1799-1376-1950-2123-2008-2004-1962-1676-1822-1971-1550-1997-2128-1352-1784-780-635-0
