Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p64_t030.txt;30;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;6,76196;6,76204;38;42;25;1;38;41;
2;6,83182;6,83213;34;42;18;4;33;42;
3;6,83243;6,83265;37;44;21;6;34;43;
4;6,8875;6,88757;35;38;14;4;36;35;
5;6,81538;6,8155;35;41;16;7;29;40;
6;6,84495;6,84522;40;42;13;2;34;40;
7;6,82065;6,82106;41;38;22;1;39;38;
8;6,83979;6,8398;31;46;16;4;32;43;
9;6,81659;6,81662;32;38;20;8;30;34;
10;6,87977;6,8798;32;46;17;6;33;43;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;29,4558;6,62839;264;667;0-1-3-4-2-5-8-12-7-11-16-23-38-45-51-56-52-57-60-62-63
;;2;29,4558;0,536514;276;663;0-1-3-11-7-8-4-2-5-9-14-19-25-32-39-45-51-56-60-62-63
;;3;29,4558;3,11163;282;660;0-1-3-7-8-4-2-5-9-13-19-33-40-32-39-45-51-56-60-62-63
;;4;29,4558;2,7091;294;650;0-1-3-7-12-8-2-5-9-14-19-33-40-32-39-45-51-56-60-62-63
;;5;29,4558;0,268846;300;648;0-1-3-4-8-2-5-9-13-19-26-33-40-32-39-45-51-56-60-62-63
;;6;29,4558;6,22419;306;645;0-1-3-7-4-2-5-8-13-9-14-19-33-32-40-47-52-57-60-62-63
;;7;29,4558;5,21451;366;595;0-2-1-3-6-10-16-11-7-8-13-19-26-34-42-48-53-57-60-62-63
;;8;29,4558;0,335696;384;580;0-1-3-6-11-10-16-23-38-45-39-32-40-33-41-48-53-57-60-62-63
;;9;29,4558;2,03496;402;560;0-1-3-4-8-13-19-26-33-32-40-47-41-34-42-48-53-57-60-62-63
;;10;29,4558;3,04377;414;546;0-1-3-7-11-16-30-38-39-32-40-33-26-34-42-48-53-57-60-62-63
;;11;29,4558;2,8441;426;529;0-1-3-4-8-13-19-14-20-27-35-42-34-33-41-47-53-57-60-62-63
;;12;29,4558;4,67336;426;529;0-1-3-4-8-13-19-14-20-27-35-42-34-26-33-47-53-57-60-62-63
;;13;29,4558;1,09411;432;525;0-1-3-4-8-13-19-14-20-27-35-42-34-26-33-41-53-57-60-62-63
;;14;29,4558;6,76194;444;512;0-1-2-8-13-19-14-20-27-35-42-34-26-33-41-47-53-57-60-62-63
;;15;29,4558;0,806537;456;489;0-1-7-8-13-19-14-20-27-35-42-34-26-33-41-48-53-57-60-62-63
;;16;29,4558;3,65759;456;489;0-2-8-9-14-20-27-35-42-34-26-33-25-32-40-47-53-57-60-62-63
;;17;29,4558;0,806535;462;459;0-1-3-11-10-15-21-28-36-43-37-29-22-30-38-44-50-54-58-61-63
;;18;29,4558;0,201355;468;453;0-1-3-11-10-15-22-29-21-28-36-43-37-30-38-44-49-54-58-61-63
;;19;29,4558;1,29563;468;453;0-1-3-11-10-15-21-28-36-29-22-30-38-44-37-43-49-54-58-61-63
;;20;29,928;4,80671;474;384;0-11-16-10-15-21-28-36-43-37-29-22-30-38-44-49-54-58-61-63
;;21;29,4558;6,76503;228;685;0-2-1-3-7-4-8-13-18-32-39-45-51-56-60-62-59-55-58-61-63
;;22;29,4558;6,76746;240;679;0-2-1-3-7-4-8-13-19-25-32-39-51-56-60-62-59-55-58-61-63
;;23;29,4558;6,77063;312;640;0-1-3-7-8-2-5-9-14-19-26-33-40-32-39-45-51-56-60-62-63
;;24;29,4558;6,77326;288;659;0-1-3-7-4-8-2-5-9-14-19-33-40-32-39-45-51-56-60-62-63
;;25;29,4558;6,77398;324;631;0-1-3-4-8-18-13-9-14-19-26-33-40-32-39-45-51-56-60-62-63
