Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p64_t025.txt;25;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;5,35789;5,35809;31;40;9;7;33;33;
2;5,68589;5,6859;25;32;5;3;27;30;
3;5,35005;5,3501;29;35;6;4;26;29;
4;5,33498;5,33519;33;36;12;1;30;33;
5;5,34301;5,34309;28;39;6;5;28;35;
6;5,38232;5,38247;24;34;7;4;25;29;
7;5,40415;5,4075;25;34;11;2;27;34;
8;5,4189;5,41891;25;31;9;6;23;30;
9;5,40465;5,40489;32;38;12;1;30;38;
10;5,35204;5,35219;28;27;5;5;29;26;

Run;1
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;24,6274;0,157871;204;573;0-1-3-7-4-2-5-8-12-17-23-38-45-51-56-60-62-63
;;2;24,6274;2,20965;210;565;0-1-2-4-8-13-19-25-32-39-45-51-56-60-62-59-61-63
;;3;24,6274;2,79546;216;564;0-2-1-3-7-4-8-12-17-23-31-38-45-51-56-60-62-63
;;4;24,6274;3,06335;246;555;0-1-3-4-8-13-9-14-19-25-32-39-45-51-56-60-62-63
;;5;24,6274;1,78314;258;547;0-1-2-4-8-13-19-26-33-40-32-39-45-51-56-60-62-63
;;6;24,6274;0,105446;288;520;0-1-3-7-12-8-13-9-14-19-26-33-41-53-57-60-62-63
;;7;24,6274;2,84902;288;520;0-1-3-7-4-8-13-9-14-19-26-34-41-53-57-60-62-63
;;8;24,6274;2,63657;300;508;0-1-3-6-10-11-16-23-31-39-32-40-47-53-57-60-62-63
;;9;24,6274;2,95687;300;508;0-1-3-6-11-10-16-23-31-39-32-40-47-53-57-60-62-63
;;10;24,6274;2,20964;312;500;0-1-3-4-8-13-9-14-19-26-34-42-48-53-57-60-62-63
;;11;24,6274;1,33225;318;485;0-1-3-7-12-8-13-19-33-26-34-42-48-53-57-60-62-63
;;12;24,6274;0,265714;324;484;0-1-4-8-13-19-25-32-40-33-26-34-41-53-57-60-62-63
;;13;24,6274;1,78313;324;484;0-1-2-4-8-13-19-26-33-41-34-42-48-53-57-60-62-63
;;14;24,6274;2,31478;330;482;0-1-3-4-8-13-19-26-33-41-34-42-48-53-57-60-62-63
;;15;24,6274;0,424858;336;469;0-1-3-11-17-24-32-40-33-26-34-41-48-53-57-60-62-63
;;16;24,6274;0,689975;336;469;0-1-3-4-8-13-19-14-20-27-35-42-48-53-57-60-62-63
;;17;24,6274;0,318746;342;461;0-1-4-8-13-9-14-19-26-34-35-42-48-53-57-60-62-63
;;18;24,6274;3,22377;348;458;0-2-8-13-19-25-32-40-33-26-34-41-48-53-57-60-62-63
;;19;24,6274;3,7017;354;447;0-1-4-8-13-19-26-33-41-34-27-42-48-53-57-60-62-63
;;20;24,6274;0,371509;360;441;0-1-4-8-13-19-14-20-27-35-42-34-41-53-57-60-62-63
